QUEST_20150317_000795	Feigling
QUEST_20180418_009353	 [Sure, if you're lucky there could be another empty spot, but if you let it go this could be the last vacancy you'll see in your life. You need to take the chance. Besides, someone of your caliber can learn the Matador style in no time; training won't be a problem.{nl}	 [운이 좋으면 다른 공석이 생길 수도 있지만, 잘못하면 네가 할머니가 될 때까지 빈자리가 안 날 수도 있는 것이 이런 일이다. 그러니 이 기회를 잡아야 한다. 그리고 수련으로 말하자면 너라면 마타도르로서 필요한 모든 것을 익히는 데 긴 시간이 걸리지 않으리라 본다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009354	 Even judging by your combat skills alone, you're well within the level accepted for Masters of this field. I know you're interested in the position of Fencer Master, but Sorsha Hutton is still young, and very strong. Heck, not even a scandal could bring her down... That's why you need to take this chance.]{nl}	 그리고 무엇보다 무예로만 치자면 너는 이 계통의 어느 마스터를 하기에도 부족하지 않으리라 본다. 네가 소르샤 허턴의 펜서 마스터에 관심이 있다는 사실은 알지만, 그 애는 아직 젊고 실력도 좋아서 흔들기 어렵다. 추문 따위를 만들어야 먹힐 대상도 아니고.. 그러니 이 자리를 맡아라.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009355	 [What about the students of the current Matador Master? You don't expect them to just accept someone out of nowhere taking their place, do you?]{nl}[Frium and I took care of that. Also, you may not know this, but people close to the Matador Master are actually fond of you. It helps that you're a good-looking woman.{nl}	 [투기장의 다른 관련자들 무엇보다 현재 마타도르 마스터의 제자들이 그냥 있겠습니까? 갑자기 엉뚱한 사람이 그 자리를 하겠다고 나서는데..]{nl}[그쪽은 나와 프리엄이 해결하겠다. 그리고 너는 잘 모르지만 마타도르 마스터 주변의 사람들은 사실 너를 좋아한다. 역시 여자는 외모가 출중하면 덕 볼 일이 많다는 증거겠지.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009356	 As long as you show them that you're good and that you're familiar enough with the Matador techniques, that shouldn't be a problem. Come next year you'll probably be better than all of them, anyway.]{nl}Chridela didn't reply, still pondering on her decision.	 그러니 네가 실력으로도 그들을 압도하고 마타도르로서 기술도 쳐지지 않는다는 것을 알게 되면 문제 없다고 본다. 또한 나는 아마도 평생 그걸 한 그 녀석들보다 내년 이 맘 때는 네가 더 뛰어날 것이라 생각한다.]{nl}크리델라는 더 이상 다른 소리를 하지 않았지만 아직 승낙하지도 않은 채 뭔가를 잠시 생각하였다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009357	 The Monk Master took one look at her and asked,{nl}[Something else on your mind? It's about me, isn't it?]{nl}[I was just thinking about the law that forbids Class Masters from carrying out personal disputes through violence.]{nl}	 몽크 마스터가 그런 모습을 보고 물었다.{nl}[뭐 또 걸리는 것이 있는데 말을 못하는 것을 보니 아마도 내게 관련된 일인가 보군.]{nl}[그저 잠시 마스터간에는 사적인 대결을 금한다는 왕국법을 생각하고 있었습니다.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009358	 Grimm let out a short chuckle.{nl}[Hah. I know what you're thinking. But the Matador Master is a Master of the arena. The same arena I so often visit as the combat enthusiast that I am. You'll have plenty of opportunities, kid.{nl}	 몽크 마스터가 그 말에 약간 소리를 내어 웃었다.{nl}[하하. 그런가? 뭘 염려하는지 알겠군. 하지만 마타도르는 투기장 마스터이다. 나 역시 투기장에 자주 서는 취미를 지닌 마스터이고 말이다. 너에게 기회는 충분할 것이다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009359	 But if you really want to kill me, don't you need to pay me back first? I'm pretty sure you can't do anything to me until your debt is repaid. If I remember correctly, it was that strong determination of yours that made me keep you all this time.]{nl}	 하지만 나를 죽이고 싶다면 먼저 내게 빚진 것을 갚아야 하지 않겠나? 나는 네가 빚진 것을 갚기 전에는 나를 어떻게 못할 것이라는 확신이 있었다. 네 실력도 실력이지만 네 그런 가치관이 마음에 들어서 너를 끝까지 거둔 것이다.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009360	 [Five years!]{nl}[What?]{nl}[Five years. You adopted me for five years, so that is how much I owe you. After that, you will have no right to demand anything from me.]{nl}	 [5년!]{nl}[뭐?]{nl}[5년입니다. 나를 부양한 시간이 5년이니 앞으로 5년이라는 말입니다. 그 이후에는 더 이상 내게 뭘 요구할 생각을 안 했으면 합니다.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009361	 [I beg to differ. Aren't you forgetting something? We didn't just support you with food and shelter. We trained you in the finest martial arts and made you into a capable fighter. We settled not only your personal debt, but your family's as well. Not to mention...]{nl}	 [아니지. 그건 계산이 맞지 않는다. 우리가 네게 의식주만을 제공했다면 그래도 충분하겠지. 그러나 우리는 네가 최고의 무예 실력을 지닌 사람이 되도록 필요한 모든 검법을 제공하고, 훈련시키고 또한 네 어린 시절의 빚뿐만 아니라 네 가문이 지닌 오래된 빚을 청산해주었고, 또..]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009362	 [Five years and three favors. That's as much as I'm willing to offer.]{nl}Chridela had raised her voice over the Monk Master's and was now looking directly at him.{nl}	 [5년 그리고 세 가지 임무. 더 이상은 안 됩니다.]{nl}크리델라가 몽크 마스터의 이어지는 말들을 큰 소리를 내 똑바로 쳐다보면서 단호하게 말했다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009363	 Olfas Grimm was taken aback by her stare, but he quickly shrugged it off with a cackle.{nl}[Hahah. Alright. You work for us for five years. And you need to complete three missions for me. That's it, after that you're a free woman. I know you're a proud descendant of a noble family, so I trust you to keep your promise.]{nl}	 몽크 마스터 올파스 그림은 그 눈빛을 지지 않고 잠시 마주보다가 이윽고 다시 웃었다.{nl}[하하. 좋다. 5년간 우리를 위해 일한다. 그 5년이 지나면 세 가지 임무를 줄 테니 그것을 완수하라. 그 다음에는 너는 자유다. 네가 자랑하는 귀족 가문의 긍지를 생각하건대 너는 반드시 해낼 것 같군.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009364	[I will, but that doesn't mean I don't have my limits. For one, you can't force me to protect your life as my last mission.]{nl}[I'm not a fool. I'm only going to demand favors which I know you won't or can't refuse. Be it in the five years that you serve us, or in the three missions you agreed to complete.{nl}	[그렇다고 무조건 시키는 대로 하지는 않습니다. 특히 마지막 임무로 올파스 그림의 생명을 지켜라 그런 임무는 안 됩니다.]{nl}[나는 바보가 아니다. 네가 할 수 있는 일, 네가 거절하지 않을 일 혹은 거절할 수 없는 일을 시킬 것이다. 5년 동안이든 그 이후 세 가지 임무든 말이다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009365	 Besides, I may avoid fighting strong people like you, but I'm no weakling myself. Do I look like a man who's afraid of death? The only reason I haven't died yet is because I have things to do. It's not because I want to live.]{nl}	 그리고 나의 목숨으로 말하자면 너 같은 강자가 싸워보는 일을 피할 만큼 나는 약하지 않다. 내가 죽음 따위를 두려워하는 사람으로 보였나? 내가 지금 죽지 않는 것은 이루고 싶은 일이 있기 때문이다. 결코 살고 싶기 때문이 아니다.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009366	 [You know what they say about hopeless dreams...]{nl}[You can make fun of me all you want. But the fact is that you still need to prepare for the position of Matador Master. You can start by reading these.]{nl}	 [이루지 못할 꿈을 보통 뭐라고 하는지 아시는지..]{nl}[마음껏 비꼬아도 좋다. 하지만 그 전에 마타도르 마스터가 될 준비부터 해주면 좋겠군. 그 시작은 여기 이 책을 읽는 것이 좋겠네.]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009367	 Grimm picked up a pile of books from behind him and dropped them on the table before leaving in silence. Chridela watched him for a moment, but soon turned her attention to the heap of books. She picked one up and turned on a reading lamp.{nl}	 그렇게 말하고는 몽크 마스터는 책 무더기를 책상에 쏟아놓고는 그 방을 나섰다.크리델라 오테로는 그 뒷모습을 잠시 쏘아보다가 자리를 잡고 앉아 가장 위의 책을 집고 등불을 당겨 그것을 읽기 시작했다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009368	 {nl}"The first combat arenas and gladiators date back to around 900 years ago, to the reign of King Melkhiel.{nl}In time, the arenas began to develop, with more and more specialized varieties of gladiator differentiating themselves from their peers."{nl}	 .. 전략 ..{nl}왕국의 역사에서 최초의 투기장과 검투사가 출현한 때는 약 900년전 멜키엘 국왕 시대이다.{nl}이후 투기장과 검투사는 점점 발전하였고, 다양한 하위 구분을 만들어내며 현재까지 이어져왔다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009369	 "Then, around 300 ago during the reign of King Freenel, as the Kingdom opened itself up to the exterior, foreign customs and traditions began to permeate the arenas. This lead to the creation of even more new specializations, like the Matadors."{nl}	 그러다 약 300년전 프리넬Freenel 국왕의 재위기에 왕국 외부의 풍습이 유입되면서 투기장에 기존의 검투사에서 발생한, 여러 하위 직업과는 성격상 큰 차이가 있는 새로운 투기장 관련 직업인 마타도르가 나타나게 된다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009370	 "Although battles with animals and demons were already common in arenas around the Kingdom, the Matadors introduced a new style of combat which infused elements of pure spectacle into fierce confrontations with evil beasts."{nl}	 조금 더 자세히 서술하자면, 우리 세계의 동물이나 마족 그리고 같은 인간 검투사를 상대로 전투와 공연을 하던 투기장에서 마수를 상대하는 새로운 형태의 투기 공연과 전투가 이루어지게 된다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009371	 "Evil beasts can be distinguished from demons by their lack of intelligence. While both originate from a demonic realm, evil beasts are equivalent to the animals that exist in our world.{nl}Facing these beasts, especially within the arena, required specialized knowledge and experience in combat techniques that were largely unknown prior to the emergence of the Matadors."{nl}	 마수는 같은 마계에 속한 피조물이기는 하지만, 마족과는 구별되는 지능이 없거나 낮은 야수로서 우리 세계에는 존재하지 않는 종류이며, 마계 특유의 동물이라고 할 수 있다.{nl}이러한 마수를 상대하는 일, 그 중에서도 투기장에서 상대하는 일은 기존의 우리 세계의 동물을 상대로 하는 투기 공연을 펼치던 검투사들이 경험한 것과는 또 다른 기술과 정보가 필요한 일이었다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009372	 "Knowledge of evil beasts first arrived in the Kingdom through an arena manager who collected information from foreign tribal societies. The manager adapted their skills and know-how to his own expertise to design a new style of combat."{nl}	 이 때 왕국 외부 사회에서 마수를 상대한 경험을 지녔던 부족 사회가 축적한 정보와 기술이 우연히 왕국의 투기장 관련자에게 알려지게 되었고, 그는 자신이 접한 정보와 기술을 참고하여 마수를 상대하는 완전히 새로운 방식을 고안해낸다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009373	 "His research and practices eventually gave origin to an entirely new profession in the arena. Throughout his life, he continued to polish and add new elements to the technique, until he acquired the official position of Master of the Matador class."{nl}	 이것은 완전히 새로운 형태와 방식의 투기장 종사자의 탄생이었다.{nl}그는 말년까지 자신이 파악한 왕국 외부 기술에 스스로 창안한 기술을 더하고, 모든 것을 더 가다듬었으며, 결국에는 마스터의 지위를 공인 받음으로써 마타도르라는 새로운 직종의 탄생을 확고히 한다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009374	 "The methods developed by the first Matador were considered highly innovative at the time, due to how they incorporated artistic notions in a style of combat tailored specifically to arena battles performed in front of an audience."{nl}	 초대 마타도르가 창시한 마타도르의 기술과 방식은 실제 전투에 필요한 사항과 그것을 투기장 관람객들에게 보여주기 위한 예술과 예능성을 모두 포함하는 종합 격투 예술이었다고 할 수 있다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009375	 "The first big change in the Matador tradition is often pointed out as the time when the original techniques used against evil beasts were expanded and adjusted to include one-on-one confrontations."{nl}	 그리고 다시 300년의 시간이 흐르면서 마타도르의 기술 역시 시간의 흐름에 따라 변화를 겪게 된다.{nl}그 가운데 가장 특기할 ?변화를 꼽자면 바로 마타도르의 기술이 비단 마수를 상대하는 일뿐 아니라 일대일의 대결에도 강력한 점이 있다는 사실이다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009376	 "Although Matadors were often assisted by other fighters in combat, the need to face demonic beasts solo made it so that, over the course of three centuries, the profession of Matador became more and more specialized in this kind of conflict."{nl}	 마타도르는 그 진행과정에서 보조자들의 도움을 받기도 하지만 종국에는 단신으로 마계의 마수와 맞설 필요가 있었고, 이렇게 강력한 마수를 홀로 상대하는 과정이 3 세기를 거쳐 흐르면서 그 같은 일에 특화된 방향으로 더욱 발전하게 된 것이다.{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009377	 "Thus, unlike their predecessors who mastered the art of performing with evil beasts, the Matadors of today are largely recognized by their outstanding command of one-on-one combat."{nl}	 따라서 현대의 마타도르는 마스터는 과거에 마계의 마수를 전문으로 공연하던 선배 마타도르와 달리 오히려 일대일의 대결의 전문가로서 더 큰 명성을 얻는 일이 많아졌다{nl}.. .. 후략 .. ..{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009378	 Chridela put down the book and picked up another one. She slowly browsed through the books in the pile one by one before concluding,{nl}[Does he expect me to learn everything by theory? I think I should at least watch some Matador matches tomorrow...]{nl}	 거기까지 읽던 크리델라 오테로는 책을 덮고 남은 책들을 하나씩 들어서 본 다음 이렇게 말했다.{nl}[죄다 책을 통해 이론으로만 익히라는 건가? 그러지 않으려면 최소한 내일부터는 관람석에서 기존 마타도르들을 잘 관찰해야 하겠군..]{nl}				크리델라 오테로 이야기 2권
QUEST_20180418_009379	 With that, she placed the books in a bag, turned off the light and left.{nl}If she was going to read all night, she may as well do it in the comfort of her own room, Chridela thought.	 혼잣말을 그친 크리델라 오테로는 책들을 모아서 정리하여 싼 다음 불을 끄고 방을 나섰다.{nl}어차피 밤새 읽을 책이라면 자신의 숙소에서 그러는 것이 낫기 때문이었다.				크리델라 오테로 이야기 2권
QUEST_20180418_009380	* Zealot Master Diaries{nl}	*질럿 마스터 이야기{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009381	 When the funeral processions were over, the nearly 70 people in attendance assembled for a meeting of the Order.{nl} As they were mostly an exclusive group, without close contact with other clerics, there was barely any outsiders in their midst.{nl}	 칠십여 명의 사람이 참석한 장례식의 식후 행사는 그대로 교단의 총회가 되었다.{nl}본시 다른 성직자나 교단과 왕래가 없는 폐쇄적 성격이 짙은 단체이니 외부 손님은 거의 없었고,{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009382	 The family of the deceased were there to fulfill their duties, and those who knew of the events that had occurred were there as well, along with those sent customarily by the lord of the area to document the passing of a Master.{nl}	 고인의 친척 몇이 친족의 의무감으로 참석했고, 알고 지내던 이웃 사람이 몇 왔으며, 그래도 마스터가 죽었으니 담당 지역의 영주가 사람을 보내 관례상의 의무를 다했다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009383	 They stayed long enough to give their condolences before making a hasty exit and soon enough only the members of the Zealot Order remained.{nl}The only living Zealots of the world were all gathered there.{nl}	 그렇게 온 사람들은 성의를 보였다고 생각할 정도의 시간이 지나자 서둘러 인사를 남기고 떠났고, 남은 사람들은 모두 질럿 교단에 속한 내부자였다.{nl}그리고 이들이 세상에 존재하는 모든 질럿이기도 하였다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009384	 However, there was one person who was a stranger. A person who was not closely related to the order.{nl}His name was Phrevy. A middle-aged man sent by the Inquisitor Master, Thomas Iquinostasys, to witness the proceedings as the Zealot Master's position was now vacant.{nl}	 딱 한 명 외부인으로서 이 자리에 끝까지 남은 사람이 있기는 했는데 그 사람 역시 딱히 친분이 두터워서는 아니었다.{nl}프레비Phrevy란 이름을 지닌 중년 남자는 인퀴지터로서 인퀴지터 마스터 토마스 이코노스타시스의 명령으로 교단의 수좌이자 질럿 마스터가 공석이 된 상황에서 총회의 진행을 지켜보기 위한 남은 사람이었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009385	 Not open to outsiders and with little connection to other clergy, if it was not a meeting requiring an official appearance, it was not necessary for those like the Inquisitors to attend.{nl}	 질럿 교단은 외부인은 물론이고 다른 성직자들과도 사이가 좋은 편이 아니라서 인퀴지터처럼 성직자 사회에서 공적인 역할을 하는 사람이 아니면 서로 볼 일도 거의 없었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009386	 Yet, during this assembly, if the next Zealot Master was selected, it would be Phrevy who would have to verify the process, report back to the Inquisitor Master and later relay the message to the proper department of the Kingdom.{nl} 	 만약 오늘 총회에서 질럿 마스터가 선출되면 그가 그 선출과정이 적법하고 적절했음을 증명하고, 인퀴지터 마스터에게 보고하고, 왕국의 관련 부처에도 전달하는 임무를 지니고 있었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009387	 For generations, the Zealot Order would elect their Master and this person would make an appearance before the Inquisitor and other orders of the goddesses for approval before alerting the king. If there was no reason for adjustment the process would be complete.{nl}	 질럿 교단의 종주이자 질럿의 마스터를 뽑는 과정은 대대로 이렇게 교단 내부에서 선출된 인물을 인퀴지터가 여신의 다른 모든 교단을 대표하여 심사하고 인지한 후 국왕에게 알리면, 조정은 특별한 사유가 없는 한, 그 사실을 추인하여 임명장을 보내 마무리하였다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009388	 Since it was typical for the Order to elect a new Master before the previous one had either passed away or retired, even if the Inquisitor Phrevy formally knew little about the proceedings, there was really not much to observe. 	 질럿 교단의 차기 종주이자 마스터는 보통 전대 마스터가 사망하거나 은퇴하기 전에 미리 내부에서 선정되어 있는 경우가 많았기 때문에 외부인인 인퀴지터가 형식상으로는 몰라도 실질적으로 새 수장이 선출되는 과정을 며칠 동안 지켜보는 일은 거의 없었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009389	 But this time, the assembly had reached a standstill.{nl}Therefore, including the dispatched Phrevy, all who were in attendance were determined that a decision must be reached.{nl}	 하지만 이번 총회는 아무것도 정해지지 않은 상태였다.{nl}따라서 파견된 인퀴지터 프레비를 포함하여 이 자리에 있는 모든 사람들은 이 총회가 오늘을 넘기고 여러 날 동안 진행된다고 하여도 전혀 이상한 일이 아니라는 각오를 하고 참석하였다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009390	 Moreover, Phrevy was selected to act as chair for the assembly, thus proving that the friction within the Order was more serious than previously thought.{nl}	 더하여 사상 최초로 교단 총회의 의장 역할이 외부인인 인퀴지터 프레비에게 넘어간 총회이기도 했다.{nl}이것은 질럿 교단의 내부 알력 싸움이 생각보다 심각하다는 뜻이기도 했다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009391	 Although the Zealot Order did not consist of many members, they were divided and the span of the Order's history was practically the same as the two sides' lasting conflict. {nl}	 사람이 그렇게 많지도 않은 질럿 교단은 내부에서 두 개의 파벌로 나뉘어 있었고, 이 두 파벌의 생성과 대립은 교단의 역사 자체의 길이와 거의 동일했다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009392	 The Zealot Order was founded to recover the missing goddesses. However, the Order had separated into those who wished to seek out Goddess Laima first and those who wished to seek out Goddess Jurate. Both carrying their own opinions and reasoning for the matter.{nl}	 질럿 교단은 잃어버린 여신을 회복하자는 교의를 지니고 있었고, 잃어버린 여신은 라이마와 유라테가 대표적이었기에 라이마 여신을 먼저 수복하자는 파벌과 유라테 여신이 먼저라는 파벌로 나뉘었고, 양측은 나름대로 논리와 입장이 있었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009393	 There were those who believed Goddess Dahlia to be of the utmost importance, but compared to the other two groups whose numbers were 30 and 40, they carried no weight and dispersed themselves amongst the others.{nl}The end result being that their opinions on Goddess Dahlia were ignored.{nl}	 그에 더하여 달리아 여신을 우선시하는 극소수의 질럿이 존재하지만, 다른 파벌이 삼사십 명의 인원인데 비하여 이들은 서너 명이라 별 영향력이 없었고, 소수자들 역시 때에 따라 이쪽도 갔다가 저쪽도 가곤 했다.{nl}결과적으로 고유의 목소리를 내지 못하고 유라테 혹은 라이마 전공에 달리아 부전공 정도의 입장에 처해있었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009394	 Although this discord went on for some time, the Zealot Order was not divided.{nl}As a smaller order, they were aware of their precarious situation.{nl}And, even if the search for one goddess became paramount, they did not turn a blind eye on opportunities to find others.{nl}	 이런 갈등이 오랜 되었어도 질럿 교단은 분열까지 이르지는 않았다.{nl}일단 그들은 여타 교단에 비하면 소수자라 더욱 작은 단체로 갈리는 일을 경계하고 있었다.{nl}그리고 어느 여신 찾기를 우선한다고 해서 다른 여신을 찾을 기회가 왔을 때 나 몰라라 하지도 않았다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009395	 This was because their mission was to find all the Goddesses, not to find a specific one.{nl}What was most important was their role to support the other existing Goddesses, their Orders, and the other Clerics.{nl}	 교단의 최종 목적은 여신 찾기이지 특정 여신 찾기가 아니었기 때문이다.{nl}무엇보다 존재하는 다른 여신들과 그에 속한 교단 그리고 다른 성직자 계열들의 권면과 지원도 큰 역할을 했다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009396	 Although the Zealots were not popular, because their goal was to find the missing goddesses, the other orders did not oppose them. Whether for honor's sake or out of empathy, they could do nothing but help the Zealot Order. 	 질럿 교단을 좋아하지 않는 다른 여신의 교단이나 성직자들도 실종된 여신을 찾아야 한다는 대의에 반대할 수 없었고, 마음으로 공감하든 체면상이든 질럿 교단을 돕지 않을 수 없었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009397	 Because of this, the Zealots made their conflict known to the others in order to ensure that the matter did not make the already small order be forced to take on even more hardship.{nl}	 따라서 질럿 교단 역시 내부의 갈등을 외부로까지 공공연하게 만들어 지원이 끊기는 일은 그렇지 않아도 소수자이고 열악한 교단의 환경을 더 어렵게 만드는 일이었기에 조심하지 않을 수 없었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009398	 At a previous assembly, David Tal, who was from the Laima followers, rose to a seat of power and was elected the Zealot Master.{nl}Those who served Jurate did not complain as, before this assembly, he had married Naomi, the daughter of an influential member of the Jurate followers.{nl}	 지지난번 총회에서는 라이마 우선주의 파벌의 중심이었던 데이빗 탈David Tal이 교단의 수좌이자 질럿 마스터로 선출되었다.{nl}유라테 우선주의 파벌에서는 불만이 없지 않았으나 유라테 파벌의 유력자의 딸 나오미Naomi가 데이빗과 총회 전에 결혼하였기 때문에 양 파벌의 분쟁은 일단 수면 아래로 가라앉았다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009399	 For a short time it seemed as though the century old conflict would dissolve thanks to the marriage and David's successful ruling of the Order.{nl}He had gathered the Order's power and prepared them in the direction of finding Goddess Laima.{nl}	 그리고 그 후 잠시 동안은 양측의 대표적 인물의 결혼과 데이빗의 안정적인 교단 운영으로 수 세기를 끌어온 갈등이 점차 완화되는 듯했다.{nl}데이빗 탈은 교단의 안정화로 질럿들의 역량을 모을 수 있는 준비가 되자 라이마 여신 추적에 박차를 가하였다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009400	 When a single lead appeared, he gathered a small group of Zealots and followed in pursuit.{nl}But the fact that the lead was fruitful is the sorrow of this story.{nl}It was here that David Tal faced his death, as he encountered another group who were in pursuit of Goddess Laima.{nl}	 그리하여 하나의 단서를 발견하였고, 소수의 질럿을 이끌고 그것을 추격하였다.{nl}그러나 이 단서는 불행히도 진짜였기 때문에 문제가 되었다.{nl}라이마 여신의 뒤를 쫓는 또 다른 무리가 있었고, 이들과 조우한 데이빗 탈이 그만 살해당하고 말았다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009401	 When David Tal passed away, the Order was stuck with heartache and further separation.{nl}After much backlash, Naomi succeeded her husband and became Zealot Master. However, a heavy atmosphere followed as there were those who followed Laima that believed it was because of Naomi that they lost David.{nl} 	 데이빗 탈이 사망하자 질럿 교단은 깊은 슬픔과 함께 새로운 분열을 맞이하였다.{nl}우여곡절 끝에 나오미 탈이 사망한 남편을 계승하여 질럿 마스터가 되었으나 데이빗 탈을 잃은 라이마 파벌에서는 그녀 때문에 혹은 그녀를 아내로 맞은 탓에 우리 데이빗 죽었다는 반응을 보이는 사람이 나올 정도로 분위기가 좋지 않았다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009402	 For many years Naomi ruled and, from pressure within the Order and due to her own personal interests to find her husband's killers, she continued their pursuit for Goddess Laima.{nl}These matters were one and the same and did not need to be pursued separately, yet the result led to her death as she too fell victim to those with connection to her husband's death.{nl}	 이런 분위기에서 나오미 탈은 몇 년간 질럿 교단을 추스르다가 내부의 압력과 개인적 소망이 합쳐져 다시 라이마의 추적과 남편을 살해한 범인의 추적에 나선다.{nl}이 두 가지 사안은 본질적으로 같은 것이기에 따로 추적할 필요가 없었으나 결과적으로 나오미 탈 역시 남편의 살해범과 그가 속한 무리에게 희생당하였다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009403	 (It would be revealed much later, but the one who played the main role behind their deaths was Evoniphon.{nl}Yet this truth would come much later to Aliza Tal, and by then Evoniphon would have had already left this world.){nl}	 (훗날에 밝혀지지만 이 두 사람의 살해에 가장 큰 역할을 담당한 자는 에보니폰이었다.{nl}다만 엘리자 탈이 부모의 살인범이 누구인지 안 것은 무척 먼 훗날의 일이었고, 그 시점에서 에보니폰은 이미 사망하였다){nl}				질럿 마스터 이야기 1권
QUEST_20180418_009404	 It was due to this second death that today's funeral and assembly had taken place.{nl}And the reason for the current emotional divide between those who purse Laima and those who pursue Jurate.{nl}	 그리고 그 두 번째 죽음의 결과가 금번의 장례식과 오늘의 총회가 되었다.{nl}따라서 라이마 우선주의 파벌이나 유라테 우선파벌이나 상대에 대해 감정이 있었다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009405	 There were extremists on one side who believed that if it wasn't for the pressure from those of the Order, Naomi Tal would not have been so reckless, and those on the other side who thought that the very marriage of David and Naomi was the problem.{nl}	 너희가 그렇게 재촉하고 강요하는 분위기가 아니었으면 나오미 탈이 무리하게 추적에 나섰겠느냐 라는 처지와 애초에 데이빗이 나오미와 결혼하는 일 자체가 잘못되었다는 입장이 양측 극단주의자들의 태도였다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009406	 Of course, there were those whose opinions were not as extreme, but it was unclear in which direction the assembly would go as their feelings of grief and resentment had yet to pass.{nl}The Zealot, who requested from Inquisitor Phrevy to speak first, stepped forward.{nl}	 물론 양측에는 그 정도까지 심하게 생각하지 않는 사람도 있었으나 그들 역시 나름대로 슬픔과 원망이 없지는 않았기에 오늘의 총회는 어떤 방향으로 어떻게 흐를지 알 수 없었다.{nl}파견된 인퀴지터 사회자 프레비에게 가장 먼저 발언을 신청한 질럿이 나서서 발언했다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009407	 [I believe that the Zealot who has served our order the longest and who carries with them years of experience should be our next Master.]{nl}The person who fit these conditions was a follower of Laima.{nl}Another Zealot requested permission to speak and offered another opinion.{nl}	 [저는 가장 오랜 기간 교단에 봉사한 경험과 연륜이 높은 질럿이 차기 마스터를 맡아야 한다고 생각합니다.]{nl}그 기준에 적합한 사람은 라이마 우선파벌에 있었다.{nl}다른 질럿이 발언권을 요청하여 얻자 다른 의견을 제시했다.{nl}				질럿 마스터 이야기 1권
QUEST_20180418_009408	 [Someone with experience is fine, but a Zealot who is strong and well disciplined would be better. I say this as it would be improper to overlook one who has the skill needed to be the next Master.] 	 [연륜과 경험이 높은 분도 좋지만, 가장 강하고 수련이 깊은 질럿이 마스터에 오르는 것이 마땅하다고 생각합니다. 마스터가 실력에서 다른 질럿에게 뒤쳐진다면 그것은 말이 안 되는 일이니까 말입니다.]{nl}				질럿 마스터 이야기 1권
