ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20170810_015374	Eine restaurierte Göttinnenskulptur.{nl}Du erhältst damit eine Belohnung deiner Wahl.{nl}(Wird zum Ende der Eventdauer gelöscht.)	이벤트 아이템입니다.{nl}사용 시 원하는 아이템을 선택할 수 있습니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)
ITEM_20170810_015375	[Event] Goldtruhe der Anmut	[이벤트] 복원된 황금 상자
ITEM_20170810_015376	Eine Goldtruhe, die von einer Göttinnenskulptur stammt.{nl}Was für Preise sich wohl darin befinden? Verwende sie und du findest es heraus.{nl}(Wird zum Ende der Eventdauer gelöscht.)	이벤트 아이템입니다.{nl}어떤 아이템이 들어있을까요?{nl}(이벤트 종료 시 일괄 삭제됩니다.)
ITEM_20170901_015377	Häschenarmbinde	바니즈 암밴드
ITEM_20170901_015378	Eine süße Armbinde mit einem Häschengesicht.	귀여운 토끼가 인상적인 암밴드입니다.
ITEM_20170901_015379	Weiße Krankenschwester-Armbinde	순백의 암밴드
ITEM_20170901_015380	Ein süßes Herz verleiht dieser Armbinde einen ganz besonderen Touch.	흰색 하트가 인상적인 암밴드입니다.
ITEM_20170901_015381	Überragendes Geisterband (15 Tage)	슈페리어 스피릿 밴드 (15일)
ITEM_20170901_015382	Überragendes Heiligenband (15 Tage)	슈페리어 세인트 밴드(15일)
ITEM_20170901_015383	Überragendes Stabilband (15 Tage)	슈페리어 솔리드 밴드(15일)
ITEM_20170901_015384	Überragendes Epikaband (15 Tage)	슈페리어 에피카 밴드(15일)
ITEM_20170901_015385	Überragendes Schnellband (15 Tage)	슈페리어 스위프트 밴드(15일)
ITEM_20170901_015386	Söldneruniform (Männer)	용병 수련복 코스튬(남)
ITEM_20170901_015387	Die Uniform für das Training von Söldnern. Damit kannst du dein Aussehen ändern.	용병에게 수련복으로 지급되는 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015388	Söldneruniform (Frauen)	용병 수련복 코스튬(여)
ITEM_20170901_015389	Modern schwarzes Häschenmädchen (Frauen)	모던 블랙 바니걸 코스튬(여)
ITEM_20170901_015390	Ein schickes schwarzes Häschenkostüm. Damit kannst du dein Aussehen ändern.	모던 블랙 바니걸 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015391	Modern schwarzer Häschenjunge (Männer)	모던 블랙 바니보이 코스튬(남)
ITEM_20170901_015392	Ein schickes schwarzes Häschenkostüm. Damit kannst du dein Aussehen ändern.	모던 블랙 바니보이 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015393	Heißes rotes Häschenmädchen (Frauen)	핫 레드 바니걸 코스튬(여)
ITEM_20170901_015394	Ein feuerrotes Häschenkostüm. Damit kannst du dein Aussehen ändern.	핫 레드 바니걸 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015395	Heißer roter Häschenjunge (Männer)	핫 레드 바니보이 코스튬(남)
ITEM_20170901_015396	Ein feuerrotes Häschenkostüm. Damit kannst du dein Aussehen ändern.	핫 레드 바니보이 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015397	Süßes rosa Häschenmädchen (Frauen)	러블리 핑크 바니걸 코스튬(여)
ITEM_20170901_015398	Ein süßes rosa Häschenkostüm. Damit kannst du dein Aussehen ändern.	러블리 핑크 바니걸 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015399	Süßer rosa Häschenjunge (Männer)	러블리 핑크 바니보이 코스튬(남)
ITEM_20170901_015400	Ein süßes rosa Häschenkostüm. Damit kannst du dein Aussehen ändern.	러블리 핑크 바니보이 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015401	Romantischrosa Krankenschwester (Frauen)	로맨틱 핑크 간호사 코스튬(여)
ITEM_20170901_015402	Ein süßes rosa Krankenschwesterkostüm. Damit kannst du dein Aussehen ändern.	로맨틱 핑크 간호사 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015403	Romantischrosa Krankenpfleger (Männer)	로맨틱 핑크 간호사 코스튬(남)
ITEM_20170901_015404	Himmelblaue Krankenschwester (Frauen)	스카이 블루 간호사 코스튬(여)
ITEM_20170901_015405	Ein hellblaues Krankenschwester-Kostüm. Damit kannst du dein Aussehen ändern.	스카이 블루 간호사 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015406	Himmelblauer Krankenpfleger (Männer)	스카이 블루 간호사 코스튬(남)
ITEM_20170901_015407	Reinweiße Krankenschwester (Frauen)	퓨어 화이트 간호사 코스튬(여)
ITEM_20170901_015408	Ein traditionelles weißes Krankenschwester-Kostüm. Damit kannst du dein Aussehen ändern.	퓨어 화이트 간호사 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170901_015409	Reinweißer Krankenpfleger (Männer)	퓨어 화이트 간호사 코스튬(남)
ITEM_20170901_015410	Flügeltest	날개테스트
ITEM_20170901_015411	Ballonflügel	풍선 날개
ITEM_20170901_015412	[Premium] Flügel	[프리미엄] 날개
ITEM_20170901_015413	Ein Flügelpaar aus Ballons. Leider kannst du damit nicht fliegen.	풍선 모양의 날개입니다. 단, 실제 비행은 불가능합니다.
ITEM_20170901_015414	Gebrochene rosa Herzflügel	깨진 핑크 하트 날개
ITEM_20170901_015415	Ein Paar Flügel in Form eines traurigen, gebrochenen Herzens. Leider kannst du damit nicht fliegen.	하트 모양의 날개입니다. 단, 실제 비행은 불가능합니다.
ITEM_20170901_015416	Kleine Steampunk-Flügel	작은 스팀 펑크 날개
ITEM_20170901_015417	Ein Flügelpaar im Stil eines Adlers. Leider kannst du damit nicht fliegen.	독수리 날개입니다. 단, 실제 비행은 불가능합니다.
ITEM_20170901_015418	Kleine mintgrüne Engelsflügel	작은 민트 천사 날개
ITEM_20170901_015419	Die echten Flügel eines Engels. Leider kannst du damit nicht fliegen.	천사의 날개입니다. 단, 실제 비행은 불가능합니다.
ITEM_20170901_015420	Damit erhältst du 1 zufällig ausgewählten Monsteredelstein.{nl}Enthält Monsteredelsteine der Klassen Schwertkämpfer, Zauberkundiger, Bogenschütze und Kleriker.	몬스터 젬을 무작위로 1개 획득할 수 있습니다.{nl}소드맨, 위자드, 아쳐, 클래릭 관련 몬스터 젬이 들어 있습니다.
ITEM_20170901_015421	Monsteredelsteinkiste: Rang 2	몬스터 젬 상자:2랭크
ITEM_20170901_015422	Damit erhältst du 1 zufällig ausgewählten Monsteredelstein.{nl}Enthält Monsteredelsteine der Klassen Highlander, Priester, Krivis, Pyromant, Kryomant, Armbrustschütze und Waldläufer.	몬스터 젬을 무작위로 1개 획득할 수 있습니다.{nl}하이렌더, 펠타스타, 프리스트, 크리비,파이로맨서, 크리오맨서, 쿼렐슈터, 레인저 관련 몬스터 젬이 들어 있습니다.
ITEM_20170901_015423	Krankenschwester-Spielzeugkubus	간호사 장난감 큐브
ITEM_20170901_015424	Du erhältst 1 zufälliges Krankenhausspielzeug.	병원 장난감을 무작위로 1개 획득할 수 있습니다.
ITEM_20170901_015425	Häschen-Spielzeugkubus	바니 장난감 큐브
ITEM_20170901_015426	Du erhältst 1 zufälliges Häschenspielzeug.	바니 장난감을 무작위로 1개 획득할 수 있습니다.
ITEM_20170901_015427	Häschen-Kostümkiste (Frauen)	바니 코스튬 선택 상자(여)
ITEM_20170901_015428	Wähle damit eines der folgenden Kostüme.{nl}– Modern schwarzes Häschenmädchen (Frauen){nl}– Süßes rosa Häschenmädchen (Frauen){nl}– Heißes rotes Häschenmädchen (Frauen)	사용 시 다음 아이템 중 1개를 선택하여 획득 할 수 있습니다.{nl} - 모던 블랙 바니걸(여){nl} - 러블리 핑크 바니걸(여){nl} - 핫 레드 바니걸(여)
ITEM_20170901_015429	Häschen-Kostümkiste (Männer)	바니 코스튬 선택 상자(남)
ITEM_20170901_015430	Wähle damit eines der folgenden Kostüme.{nl}– Modern schwarzer Häschenjunge (Männer){nl}– Süßer rosa Häschenjunge (Männer){nl}– Heißer roter Häschenjunge (Männer)	사용 시 다음 아이템 중 1개를 선택하여 획득 할 수 있습니다.{nl} - 모던 블랙 바니보이(남){nl} - 러블리 핑크 바니보이(남){nl} - 핫 레드 바니보이(남)
ITEM_20170901_015431	Krankenschwester-Kostümkiste (Frauen)	간호사 코스튬 선택 상자 (여)
ITEM_20170901_015432	Wähle damit eines der folgenden Kostüme.{nl}– Himmelblaue Krankenschwester (Frauen){nl}– Romantischrosa Krankenschwester (Frauen){nl}– Reinweiße Krankenschwester (Frauen)	사용 시 다음 아이템 중 1개를 선택하여 획득 할 수 있습니다. {nl} - 스카이 블루 간호사복 코스튬(여) {nl} - 로맨틱 핑크 간호사복 코스튬(여) {nl} - 퓨어 화이트 간호사복 코스튬(여)
ITEM_20170901_015433	Krankenpfleger-Kostümkiste (Männer)	간호사 코스튬 선택 상자 (남)
ITEM_20170901_015434	Wähle damit eines der folgenden Kostüme.{nl}– Himmelblauer Krankenpfleger (Männer){nl}– Romantischrosa Krankenpfleger (Männer){nl}– Reinweißer Krankenpfleger (Männer)	사용 시 다음 아이템 중 1개를 선택하여 획득 할 수 있습니다. {nl} - 스카이 블루 간호사복 코스튬(남) {nl} - 로맨틱 핑크 간호사복 코스튬(남) {nl} - 퓨어 화이트 간호사복 코스튬(남)
ITEM_20170901_015435	Pingmarin-Ei	펭마린 알
ITEM_20170901_015436	Blaulimonadenspielzeug	블루 레몬에이드 장난감
ITEM_20170901_015437	Ein erfrischendes blaues Limodensetz zum Spielen oder Trinken.	시원한 블루 레몬 에이드 세트입니다.
ITEM_20170901_015438	Süßparfaitspielzeug	달콤한 파르페 장난감
ITEM_20170901_015439	Lecker! Was ist besser als ein süßes Parfait?	달콤한 맛이 일품인 파르페 세트입니다.
ITEM_20170901_015440	Autschspritzenspielzeug	따끔한 주사기 장난감
ITEM_20170901_015441	Das könnte ein klein wenig wehtun.	따끔 할 수 도있습니다. 
ITEM_20170901_015442	HP-Tropf	HP 링거 장난감
ITEM_20170901_015443	Spiele Krankenhaus und behandle deine Patienten mit dringend nötigen HP-Tropfen.	병원 놀이용 장난감입니다.
ITEM_20170901_015444	Überragende Armbandkiste (7 Tage)	슈페리어 브레이슬릿 상자 (7일)
ITEM_20170901_015445	Du erhältst damit ein überragendes Armband (15 Tage) deiner Wahl.	사용 시 슈페리어 팔찌(15일) 중 1개를 선택하여 받을 수 있습니다.
ITEM_20170901_015446	Titel: Schattenspender	칭호 - Giving Shade
ITEM_20170901_015447	Ein Titel für die Sieger des "2017 Hot Hot Summer Fan Art"-Festivals. Mit Rechtsklick aktivieren.	2017년 여름 공모전 수상자에게 주어지는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20170912_015448	Helm [Frauen]	헬멧[여성]
ITEM_20170912_015449	Helm [Männer]	헬멧[남성]
ITEM_20170912_015450	Trage ihn, um das Aussehen deines Kopfes zu verändern. Haarfärbemittel wirken nicht.	착용 시 외형이 변경됩니다. 염색약의 색상이 적용되지 않습니다.
ITEM_20170912_015451	Hanaming-Kopf (Männer)	하나밍 헤드(남)
ITEM_20170912_015452	Kepa-Kopf (Männer)	케파 헤드(남)
ITEM_20170912_015453	Hanaming-Kopf (Frauen)	하나밍 헤드(여)
ITEM_20170912_015454	Kepa-Kopf (Frauen)	케파 헤드(여)
ITEM_20170912_015455	Zweihand-Kampfstreithammer	투 핸드 배틀 마울
ITEM_20170912_015456	Zweihändige stumpfe Waffe [Schlag]	양손둔기[타격]
ITEM_20170912_015457	Zweihand-Runenkeule	투 핸드 룬 메이스
ITEM_20170912_015458	Migantis-Zweihandkeule	미간티스 투 핸드 메이스
ITEM_20170912_015459	Durch diese Keule fließt eine seltsame Magie, aber es gibt keine Möglichkeit, diese zu erwecken. Für den Augenblick handelt es sich also um eine schlafende Keule.	강력한 마력이 흐르는 양손 둔기이지만, 마력을 활성화 시킬 방법이 없어 마치 잠들어 있는 듯한 양손 둔기입니다.
ITEM_20170912_015460	Pevordimas-Zweihandkeule	페버디마스 투 핸드 메이스
ITEM_20170912_015461	Durch diese Keule fließt eine starke magische Aktivität.	강력한 마력이 흐르고 있는 양손 둔기로, 마력이 활성화된 상태입니다.
ITEM_20170912_015462	Krendall-Zweihandkeule	크렌달 투 핸드 메이스
ITEM_20170912_015463	Obwohl sie schwer aussieht, ist diese Keule aus einem leichten Erz gefertigt, was einen leichten Umgang ohne Bezug zur Muskelkraft ermöglicht.	자뭇 무거워보이는 이 양손 둔기는, 특별히 가벼운 광석으로 만들어져, 근력에 관여하지 않고 휘두르기 편하게 디자인되었습니다.
ITEM_20170912_015464	Rene-Zweihandkeule	레이네 투 핸드 메이스
ITEM_20170912_015465	Pahoritas-Zweihandkeule	파저리타스 투 핸드 메이스
ITEM_20170912_015466	Purine-Migantis-Zweihandkeule	퓨리네 미간티스 투 핸드 메이스
ITEM_20170912_015467	Purine-Pevordimas-Zweihandkeule	퓨리네 페버디마스 투 핸드 메이스
ITEM_20170912_015468	Vienarazis-Zweihandkeule	비엔나라지스 투 핸드 메이스
ITEM_20170912_015469	Die Kraft dieser Keule wurde auf das absolute Maximum erhöht.	이 강력한 무기는 공격력을 극한까지 올린 양손 둔기입니다.
ITEM_20170912_015470	Schädelbrecher	스컬 브레이커
ITEM_20170912_015471	Wie der Name schon andeutet, ist diese brutale Waffe zum Brechen von Knochen optimiert.	이 위협적인 무기는 상대방의 뼈를 부수기 위해 최적화되어있습니다.
ITEM_20170912_015472	Lopanther-Zweihandkeule	롤로팬서 투 핸드 메이스
ITEM_20170912_015473	Solmiki-Zweihandkeule	솔미키 투 핸드 메이스
ITEM_20170912_015474	– 10 % Chance auf Verringerung der physischen/magischen Abwehr des Gegners um {img red_down_arrow 16 16}20 % für 10 Sekunden (Abklingzeit: 80 Sekunden)	 - 공격시 10%확률로 10초간 적의 물리/마법 방어력을 {img red_down_arrow 16 16}20%감소(재사용 대기 시간 80초)
ITEM_20170912_015475	Antischild-Halsband (7 Tage)	안티 실드 네클리스(7일)
ITEM_20170912_015476	Ein Halsband, das eine bestimmte Art Kraft enthält. Aber funktioniert es auch? Das wird sich erst noch zeigen.	조금 더 특별한 힘이 담겨진 목걸이입니다. 하지만 과연 어떨지는 잘 모르겠습니다.
ITEM_20170912_015477	Antimagie-Halsband (7 Tage)	안티 매직 네클리스(7일)
ITEM_20170912_015478	Überragendes Geisterband (7 Tage)	슈페리어 스피릿 밴드 (7일)
ITEM_20170912_015479	Überragendes Heiligenband (7 Tage)	슈페리어 세인트 밴드(7일)
ITEM_20170912_015480	Überragendes Stabilband (7 Tage)	슈페리어 솔리드 밴드(7일)
ITEM_20170912_015481	Überragendes Epikaband (7 Tage)	슈페리어 에피카 밴드(7일)
ITEM_20170912_015482	Überragendes Schnellband (7 Tage)	슈페리어 스위프트 밴드(7일)
ITEM_20170912_015483	Plüschtier-Kostüm	동물 인형 코스튬
ITEM_20170912_015484	Ein Kostüm im Stil eines süßen Plüschtiers. Damit kannst du dein Aussehen ändern.	뒤뚱뒤뚱 걷는 모습이 이상적인 동물 인형 코스튬입니다. 착용하면 외형이 변경 됩니다.
ITEM_20170912_015485	Verwandle dich mit diesem Kostüm in eine grünäugige Smokingkatze. Niemand wird deinen hinreißenden rosa Jellybeans widerstehen können! Damit kannst du dein Aussehen ändern.	녹색 눈이 반짝반짝한 턱시도 냥이 코스튬입니다. 분홍 젤리가 아주 일품! 착용하면 외형이 변경 됩니다.
ITEM_20170912_015486	Goldchampionkostüm (Männer)	골든 챔피언 코스튬(남)
ITEM_20170912_015487	– Reduziert den in PvP erhaltenen Schaden um 3 %.	- PVP 받는 피해 3%감소
ITEM_20170912_015488	Ein Kostüm, das Top-Spielern in der Teamkampfliga verliehen wird. Damit kannst du dein Aussehen ändern.{nl}Das Kostüm wird zum Ende der TKL-Saison gelöscht.	팀 배틀 리그 시즌 상위권 지급되는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}다음 시즌이 종료되면 삭제됩니다.
ITEM_20170912_015489	Goldchampionkostüm (Frauen)	골든 챔피언 코스튬(여)
ITEM_20170912_015490	Schwarzchampionkostüm (Männer)	블랙 챔피언 코스튬(남)
ITEM_20170912_015491	– Reduziert den in PvP erhaltenen Schaden um 5 %.	- PVP 받는 피해 5%감소
ITEM_20170912_015492	Ein Kostüm, das dem Sieger auf dem 1. Platz in der Teamkampfliga verliehen wird. Damit kannst du dein Aussehen ändern.{nl}Das Kostüm wird zum Ende der TKL-Saison gelöscht.	팀 배틀 리그 시즌 1위에게 지급되는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}다음 시즌이 종료되면 삭제됩니다.
ITEM_20170912_015493	Schwarzchampionkostüm (Frauen)	블랙 챔피언 코스튬(여)
ITEM_20170912_015494	Weiße Shorts mit Flamingoring (Männer)	플라밍고 튜브 블루진 코스튬(남)
ITEM_20170912_015495	Weiße Shorts sehen mit einem Flamingoschwimmring gleich viel cooler aus. Damit kannst du dein Aussehen ändern.	플라밍고 튜브 블루진 코스튬입니다. 착용하면 외형이 변경됩니다.
ITEM_20170912_015496	Riemenbikini mit Flamingoring (Frauen)	플라밍고 튜브 슬링 비키니 코스튬(여)
ITEM_20170912_015497	Weiße Bikinis sehen mit einem Flamingoschwimmring gleich viel cooler aus. Damit kannst du dein Aussehen ändern.	플라밍고 튜브 슬링 비키니 코스튬입니다. 착용하면 외형이 변경됩니다.
ITEM_20170912_015498	Das Kostüm eines Gladiators dient zuallererst der Show, und dann erst seinem Schutz. Ein perfekter Harnisch verringert das Vergnügen des Publikums, weswegen ein Murmillo auch nur die Hälfte des Körpers bedeckt.	검투사의 복장은 자신을 보호하기 위한 목적보다 관객에게 보여주기 위한 목적이 큽니다. 완벽한 방어구는 경기 관람의 흥을 떨어뜨리기 때문에 무르밀로의 복장의 한쪽 어깨는 덧대지 않게 만듭니다. 
ITEM_20170912_015499	Sein Halstuch ermöglicht es dem Shinobi, sein Gesicht wenn nötig zu verbergen. Wenn er dies tut, sagt er damit dem Gegner, dass er als Shinobi seine Identität nicht preisgeben wird.	목 부근의 천으로 필요할 때 얼굴을 가릴 수 있습니다. 그러므로 상대방은 시노비라는 사실은 알 수 있지만, 얼굴은 알 수 없습니다.
ITEM_20170912_015500	Fechter brauchen teure und hochwertige Gewänder, da selbst diejenigen mit niederer Herkunft durch die Ausbildung oder Kriege höheren Klassen gleichzusetzen sind. Die Familie Hutton hat lange die Verwendung offizieller Uniformen für Fechter der niederen Klassen gefördert, was zu extravaganter Mode führte und die traditionelle Fechterkleidung quasi völlig verdrängt wurde. Dies half dabei, den Status der Fechter der niederen Klassen zu heben und war der erste Schritt dazu, den Beruf beliebter zu machen.	펜서는 설령 평민이나 심지어 하층민 출신이더라도 강습과 실전 혹은 결투 등으로 상류층과 연결되는 일이 많기에 값지고 비싼 의상을 마련할 필요가 있습니다. 허턴 가문에서는 평민 혹은 빈민 출신의 펜서들을 위해 펜서의 공식 의상 몇가지를 장려하였고, 이러한 공식 의상 덕분에 무분별하게 화려한 유행을 타는 기존의 펜서복들이 사라질 수 있어서 이들에게 많은 도움이 되었습니다. 그리고 이것은 펜서의 인력확대를 위한 기반이 되기도 했습니다.
ITEM_20170912_015501	Dragoner sind oft von adeliger Abstammung und neigen dazu, sich in prunkvolle Gewänder zu kleiden. Dies behindert jedoch nicht ihre Fähigkeiten im Kampf.	드라군은 대개 귀족 출신이 많았기에 전통적으로 화려한 복장을 입는 경향이 짙습니다. 물론 이 경향이 그들의 실전적 전투력을 감소시키지는 않습니다.
ITEM_20170912_015502	Die Templer begannen mit dem Tragen des purpurnen Mantels, als sie sich selbst auf Befehl des Reichs vom Klerus trennten. Man könnte sagen, dass der Mantel ein Symbol der königlichen Autorität über die Kirche ist.	보랏빛 망토는 템플러가 과거에 국왕의 칙령으로 성직에서 구분되기 시작하면서 착용하기 시작하였습니다. 그러므로 이것은 교회에 대응하는 왕권의 상징이기도 합니다.
ITEM_20170912_015503	Das Gewand der Lanzenreiter ist aus einer Art metallischem Stoff hergestellt, welcher sehr gut formbar ist.	랜서의 의상은 금속성의 섬유로 만들어집니다. 그럼에도 직물의 유연함을 보이는 특이한 소재입니다. 
ITEM_20170912_015504	Gewänder der einzelnen Klassen werden oft aus modischen Gründen vom Adel übernommen, auch wenn sie nichts mit der jeweiligen Arbeit zu tun haben. Für die Kleidung Weiser kann man das nicht so sagen. Trotz ihres trendigen Aussehens sind die Gewänder von Weisen mit stark riechenden Chemikalien hergestellt, um Bücherwürmer im Zaum zu halten. Dadurch wird die Kleidung allerdings unattraktiv für modebewusste Leute.	직업별 의상이 예쁜 경우 어떤 귀족들은 해당 직업과 관련이 없어도 유행삼아 입는 사람도 있습니다. 여기서 세이지 의상은 예외입니다. 세이지 의상은 예쁘기는 하지만 제조과정에서 강력한 약품을 사용하기 때문에 그 약품냄새가 계속 나기 때문입니다. 하지만 종이를 자주 다루는 세이지에게는 책벌레류를 퇴치하는데 요긴합니다. 
ITEM_20170912_015505	Hexer sind vielleicht nicht die beliebteste Klasse, aber ihre Anwesenheit ist auf Versammlungen schon seit langer Zeit unvermeidlich. Deswegen sind die Gewänder von Hexern bewusst so gestaltet sind, dass sie für Bälle und formelle Feste geeignet sind.	워록은 대개 사교계에서 인기가 없었지만, 그래도 꾸준히 참여합니다. 오랜 세월 이런 참여가 이어지자 워록이 끼지 않은 사교모임이 오히려 어색해졌습니다. 따라서 워록의 의상은 어느 무도회에 참석해도 뒤쳐지지 않도록 제작됩니다. 
ITEM_20170912_015506	Federfüße stammen von außerhalb des Königreichs, eine Forschung daran findet kaum statt. Deswegen weiß man auch nur wenig über die einzelnen Elemente ihrer Kleidung.	페더풋은 왕국 외부 출신이고 그들에 관한 연구는 거의 이루어지지 않았습니다. 따라서 페더풋의 의상에 대한 정보 역시 부족합니다.
ITEM_20170912_015507	Trotz des leichten Aussehens sind die Gewänder von Runenwirkern dazu gefertigt, den Träger gegen die Kälte zu schützen, während sie auch die Bewegung in wärmerem Wetter erlauben. Dies spiegelt das Klima wieder, in der die Kleidung von Runenwirkern gefertigt wird.	룬캐스터의 의상은 보기와는 달리 추위에 강합니다. 또한 더운 환경에서도 활동성을 보장합니다. 최초로 제작된 지역의 기후를 반영한 결과라고 생각됩니다.
ITEM_20170912_015508	Verzauberer ziehen Effizienz und Leistung dem Aussehen vor, deswegen ist deren Kleidung auch oft einfach und schmucklos.	인챈터들은 외양보다는 성능과 효과를 중시하는 사람이 많습니다. 그러므로 그들의 의상은 단순함과 질박함의 미를 표현합니다.
ITEM_20170912_015509	Schätzer sind bekannt dafür, dass sie äußerst stark auf bequeme Kleidung stehen, obwohl sie lieber formelle Gewändern anziehen, wenn sie sich mit Kunden aus der Oberklasse abgeben müssen. Diese Ausstattung ist ein Beispiel dafür.	감정사들은 편안한 복장을 즐겨찾지만, 신분이 높은 사람들의 물건을 감정하기 위해 출장을 가거나 격식이 필요한 장소에 들어가야 할 때를 위한 의상이 따로 있습니다. 바로 이 의상입니다.
ITEM_20170912_015510	Das dicke Material der Kleidung des Falkners widersteht den Habichtklauen, während es gleichzeitig vor Schaden schützt.	두터운 소재로 지어진 응사의 의상은 매의 발톱에도 손상되지 않으며, 매의 발톱 역시 손상시키거나 얽히게 하지 않습니다.
ITEM_20170912_015511	Die Ausstattungen von Kanonieren waren ursprünglich denen von Schmieden ganz ähnlich. Über die Zeit hat diese Klasse aber trotzdem einen höheren Status erlangt und kleidete sich schließlich eleganter.	캐노니어의 의상은 초기에는 대장장이의 작업복과 비슷한 수준이었으나 세대를 거치면서 지위가 상승하자 더 고급스러운 풍조를 반영하여 현재에 이르렀습니다.
ITEM_20170912_015512	Das Gewand der heutigen Musketiere ist eine exakte Nachbildung der Uniformen der königlichen Ehrenwache vor einigen Jahrhunderten. Seltsamerweise trägt die Ehrenwache jetzt eine modernere Version dieser Uniformen.	머스킷티어의 의상은 수세기 전의 왕실 의장대의 의상과 동일합니다. 왕실 의장대의 복장은 변했지만, 머스킷티어의 정복 의상은 오히려 지금도 남아서 착용되곤 합니다.
ITEM_20170912_015513	Der ursprüngliche Zweck der traditionellen Kleidung der Mergen ist weiterhin unklar im Königreich. Bisher hat der Mergen-Meister noch keine Hinweise auf dieses Geheimnis geliefert.	메르겐의 복식이 그들 사회에서 어떤 의미를 지니는지 왕국 사람들은 전혀 모릅니다. 메르겐 마스터 역시 굳이 설명하지 않고 있습니다.
ITEM_20170912_015514	Die Kleidung von Seelsorgern kombiniert Farben und Elemente, die die Göttinnen symbolisieren und damit den kämpfenden Soldaten ein Gefühl von Sicherheit verleihen. Abgesehen davon erlaubt die Philosophie der Gewänder von Seelsorgern keine Verwendung in echten Kampfsituationen.	채플린의 복식은 병사들에게 안정감을 주는 색상과 여신을 나타내는 상징물을 결합한 의상입니다. 전쟁터에서 직접 전투를 하는 상황은 고려하지 않습니다. 그 이유는 복식에 대놓고 전투를 대비한 경우를 포함해선 안 된다는 철학이 있기 때문입니다.
ITEM_20170912_015515	Diese Kleidung ist bekannt dafür, äußerst resistent gegen Schmutz zu sein, weswegen sie über eine längere Zeit ohne Waschen getragen werden kann. Und nicht nur das – sie ist auch für eine leichte Waschbarkeit designt.	쉽게 때를 타지 않고 오랜 기간 세탁하지 않아도 티가 나지 않도록 제작되었습니다. 또한 세탁은 간편합니다.
ITEM_20170912_015516	Traditionell repräsentieren die Ornamente auf der Kleidung der Kabbalistin jeweils unterschiedliche akademische Erfolge. Trotzdem hat das Fehlen der Durchsetzung dieses Brauchs durch die aktuelle Kabbalisten-Meisterin dazu geführt, dass sogar Anfänger nun die Ornamente ganz nach ihren Vorlieben tragen.	카발리스트 의상에 패용되는 장신구는 학문적 성취를 얻을 때마다 추가로 달도록 되어있습니다. 다만 현재 마스터는 딱히 이를 엄격하게 지키도록 강요하지 않기 때문에 초보 카발리스토도 대개는 모든 장식을 다 패용합니다.
ITEM_20170912_015517	Die Stola des Inquisitors wurde ursprünglich nur bei Gerichtsprozessen getragen. Heute sind die Göttinnen verschwunden und nun wird sie jederzeit getragen, um die Doktrin des Inquisitors zu propagieren.	인퀴지터의 영대는 원래는 재판시에만 착용하였습니다. 현재는 여신이 사라진 상황에서 새 인퀴지터 강령이 반포된 상황이라 상시 착용합니다.
ITEM_20170912_015518	Die Gewänder der Taoisten ist eine Reminiszenz an den Stil aus vergangenen akademischen Traditionen.	도사의 복장은 과거의 복장을 고증하는 훈고적인 학풍을 따릅니다. 
ITEM_20170912_015519	Die Kleidung der Miko spiegelt die Traditionen ihrer Ursprungskultur wieder und stellt einen sichtbaren Kontrast zu den Moden des Königreichs dar. Da der Status der Miko in der Gesellschaft sich immer weiter verbessert, wird ihr Stil wahrscheinlich auch zukünftige Trends im Königreich beeinflussten.	무녀의 복장은 그들 고향의 풍습을 반영한 것이어서 왕국과는 뚜렷한 차이를 보여줍니다. 무녀가 왕국 사회에 받아들여진 것처럼 이들의 복식도 왕국의 유행에 영향을 줄 날이 오리라 봅니다.
ITEM_20170912_015520	Ein Piratenhut mit einer roten Feder.{nl}Wird gewöhnlich von arbeitenden Korsaren verwendet.	붉은 깃털의 해적모자{nl}커세어가 일터에서 애용하는 모자입니다.
ITEM_20170912_015521	Entdecker-Runzelrose	탐험가용 해당화
ITEM_20170912_015522	Entdecker-Fedora	탐험가용 페도라
ITEM_20170912_015523	Roter Entdecker-Blumenkopfschmuck	탐험가용 큰 붉은꽃 머리장식
ITEM_20170912_015524	Kampftrank	배틀 포션
