QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.
QUEST_UNUSED_20151022_001928	Das scheint zu reichen. Kehre jetzt zur Highlander-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_001929	Die Monster im Farnkrautwald (63_3) mit ausgerüstetem Schild besiegen und Essenzen sammeln
QUEST_UNUSED_20151022_001930	Die Peltasta-Meisteranwärterin möchte sehen, wie gut du mit einem Schild umgehen kannst. Jage mit ausgerüstetem Schild Monster im Farnkrautwald (63_3) und sammle ihre Essenzen ein.
QUEST_UNUSED_20151022_001931	Du hast genug Essenzen gesammelt. Kehre jetzt zur Peltasta-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_001932	Die Monster im Farnkrautwald (63_3) besiegen und Folgendes sammeln: %s
QUEST_UNUSED_20151022_001933	Mit dem Hopliten-Meister in Orsha sprechen
QUEST_UNUSED_20151022_001934	Der Hopliten-Meister hat dich gebeten, Yognome im Farnkrautwald (63_3) zu besiegen.
QUEST_UNUSED_20151022_001935	Du hast Yognome besiegt. Kehre jetzt zum Hopliten-Meister zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_001936	Mit dem Barbaren-Meisteranwärter sprechen
QUEST_UNUSED_20151022_001937	Mit dem Barbaren-Meisteranwärter an der Paupys-Kreuzung sprechen
QUEST_UNUSED_20151022_001938	Yognome im Farnkrautwald (63_3) besiegen
QUEST_UNUSED_20151022_001939	Der Barbaren-Meisteranwärter möchte wissen, wie es um deine Kampflust bestellt ist. Besiege Yognome im Farnkrautwald (63_3), um deine Kampflust zur Schau zu stellen.
QUEST_UNUSED_20151022_001940	Dem Barbaren-Meisteranwärter Bericht erstatten
QUEST_UNUSED_20151022_001941	Du hast Yognome besiegt. Kehre jetzt zum Barbaren-Meisteranwärter zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_001942	Yognome besiegen
QUEST_UNUSED_20151022_001943	Die Flüchtlinge beim Lemprasa-Teich mit der Salbe behandeln
QUEST_UNUSED_20151022_001944	Die Kleriker-Meisteranwärterin hat dich gebeten, die Flüchtlinge beim Lemprasa-Teich zu heilen. Hilf ihnen mit der erhaltenen Salbe.
QUEST_UNUSED_20151022_001945	Du hast alle Notfälle behandelt. Kehre jetzt zur Klerikermeisterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_001946	Bete vor den Statuen der Göttinnen beim Lemprasa-Teich, bei den Verbundenen Brücken und an der Paupys-Kreuzung.
QUEST_UNUSED_20151022_001947	Die Krivis-Meisteranwärterin hat dich gebeten, vor den Statuen der Göttinnen beim Lemprasa-Teich, bei den Verbundenen Brücken und an der Paupys-Kreuzung ein Opfer zu bringen und zu beten.
QUEST_UNUSED_20151022_001948	Du hast den Göttinnen hinreichend gehuldigt. Kehre jetzt zum Krivis-Meister zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_001949	Sammle Kräuter am Lemprasa-Teich, bei den Verbundenen Brücken und an der Paupys-Kreuzung.
QUEST_UNUSED_20151022_001950	Die Priester-Meisteranwärterin hat dich gebeten, Kräuter am Lemprasa-Teich, bei den Verbundenen Brücken und an der Paupys-Kreuzung zu sammeln, um die Salbe herstellen zu können.
QUEST_UNUSED_20151022_001951	Du hast alle Kräuter beschafft. Bringe sie der Priester-Meisteranwärterin.
QUEST_UNUSED_20151022_001952	Im Farnkrautwald (63_1) Folgendes sammeln: %s
QUEST_UNUSED_20151022_001953	Im Farnkrautwald (63_2) Folgendes sammeln: %s
QUEST_UNUSED_20151022_001954	Im Farnkrautwald (63_3) Folgendes sammeln: %s
QUEST_UNUSED_20151022_001955	Mit der Bokor-Meisteranwärterin sprechen
QUEST_UNUSED_20151022_001956	Mit der Bokor-Meisteranwärterin in Orsha sprechen
QUEST_UNUSED_20151022_001957	Materialien sammeln und eine Bokor-Puppe herstellen
QUEST_UNUSED_20151022_001958	Du hast die Anleitung für die Fertigung einer Puppe erhalten. Sammle die in der Anleitung aufgelisteten Materialien und fertige die Bokor-Puppe an.
QUEST_UNUSED_20151022_001959	Der Bokor-Meisteranwärterin Bericht erstatten
QUEST_UNUSED_20151022_001960	Du hast eine Puppe gebastelt. Kehre jetzt zur Bokor-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_001961	Ohne Werkzeug keine Fertigung [Dievdirbys-Aufstieg]
QUEST_UNUSED_20151022_001962	Mit der Dievdirbys-Meisteranwärterin sprechen
QUEST_UNUSED_20151022_001963	Mit der Dievdirbys-Meisteranwärterin im Wald der verbundenen Brücken sprechen
QUEST_UNUSED_20151022_001964	Den Wunsch der Dievdirbys-Meisteranwärterin an die Schmiedin in Orsha weiterleiten
QUEST_UNUSED_20151022_001965	Die Schmiedin in Orsha nach den nötigen Materialien fragen
QUEST_UNUSED_20151022_001966	Im Farnkrautwald (63_3) Yognome besiegen und Metall besorgen
QUEST_UNUSED_20151022_001967	Besiege Yognome im Farnkrautwald (63_3) und sammle Metall.
QUEST_UNUSED_20151022_001968	Das Metall der Schmiedin in Orsha überreichen
QUEST_UNUSED_20151022_001969	Du hast genug Metall gesammelt. Übergib es der Schmiedin in Orsha.
QUEST_UNUSED_20151022_001970	Von Yognome Folgendes sammeln: %s
QUEST_UNUSED_20151022_001971	Mit der Schmiedin in Orsha sprechen, um den Meißel zu erhalten.
QUEST_UNUSED_20151022_001972	Den Meißel der Dievdirbys-Meisteranwärterin überbringen
QUEST_UNUSED_20151022_001973	Den Meißel der Dievdirbys-Meisteranwärterin überbringen
QUEST_UNUSED_20151022_001974	Der Dievdirbys-Meisteranwärterin Folgendes überbringen: %s
QUEST_UNUSED_20151022_001975	Monster mit Highlander-Fertigkeiten besiegen
QUEST_UNUSED_20151022_001976	Die Highlander-Meisteranwärterin möchte sich ein Bild davon machen, was du bisher gelernt hast. Besiege Monster mit Highlander-Fertigkeiten.
QUEST_UNUSED_20151022_001977	Du hast deine Fertigkeiten hinreichend zur Schau gestellt. Kehre jetzt zur Highlander-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_001978	Den Schauermahr bei der Karolis-Quelle besiegen
QUEST_UNUSED_20151022_001979	Den Schauermahr bei der Karolis-Quelle besiegen, um aufzusteigen
QUEST_UNUSED_20151022_001980	Du hast den Schauermahr besiegt. Kehre jetzt zur Peltasta-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_001981	Sparnasmann im Brakenkloster (64_2) besiegen
QUEST_UNUSED_20151022_001982	Der Hoplit hat dir erzählt, dass ein Monster aus längst vergessener Zeit erneut aufgetaucht ist und Menschen behelligt. Besiege Sparnasmann im Brakenkloster (64_2) und bringe ihm das abgebrochene Ende des Speers des Meisters.
QUEST_UNUSED_20151022_001983	Du hast das abgebrochene Ende des Speers des Meisters gefunden. Überbringe es dem Hopliten-Meister.
QUEST_UNUSED_20151022_001984	Von Sparnasmann erbeuten: %s
QUEST_UNUSED_20151022_001985	Monster auf dem Feretorihügel nur mit Grundwerten besiegen
QUEST_UNUSED_20151022_001986	Der Barbaren-Meisteranwärter möchte, dass du die Monster auf dem Feretorihügel mit deiner dir eigenen Kraft besiegst.
QUEST_UNUSED_20151022_001987	Du hast die Prüfung des Barbaren-Meisteranwärters bestanden. Kehre zu ihm zurück und erstatte Bericht.
QUEST_UNUSED_20151022_001988	Mit der Rodelero-Meisterin in Orsha sprechen
QUEST_UNUSED_20151022_001989	Die Rodelero-Meisterin möchte, dass du deinen Schild um 4 Stufen verbesserst. Erhöhe die Stufe deines Schilds, um von der Rodelero-Meisterin anerkannt zu werden.
QUEST_UNUSED_20151022_001990	Sprich mit dem Kataphrakt-Meister in Orsha.
QUEST_UNUSED_20151022_001991	Tiermonster auf dem Feretorihügel besiegen
QUEST_UNUSED_20151022_001992	Besiege Tiermonster auf dem Feretorihügel und beweise dem Kataphrakt-Meister, wie gut du bist.
QUEST_UNUSED_20151022_001993	Das sollte reichen. Kehre jetzt zum Kataphrakt-Meister zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_001994	Verwundete Monster mit der Kraft des Juwels läutern
QUEST_UNUSED_20151022_001995	Kämpfe gegen die Monster auf dem Feretorihügel und läutere sie, wenn du sie verletzt hast, mit dem Juwel. Sammle die Asche der Monster nach der Läuterung ein.
QUEST_UNUSED_20151022_001996	Du hast genug Monsterasche gesammelt. Kehre mit ihr zum Krivis-Meister zurück.
QUEST_UNUSED_20151022_001997	Monster läutern und Folgendes sammeln: %s
QUEST_UNUSED_20151022_001998	Die Monster auf dem Feretorihügel besiegen
QUEST_UNUSED_20151022_001999	Die Monster auf dem Feretorihügel besiegen, um zu beweisen, dass du auf deinen Reisen auf dich achtgeben kannst
QUEST_UNUSED_20151022_002000	Die Priester-Meisteranwärterin wird erleichtert sein. Kehre zu ihr zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_002001	Triff dich jetzt mit der Bokor-Meisteranwärterin in Orsha.
QUEST_UNUSED_20151022_002002	Die Bokor-Meisteranwärterin hat dich gebeten, ihr Karten von Monsteranführern zu bringen.
QUEST_UNUSED_20151022_002003	Die Karten der Bokor-Meisteranwärterin überbringen
QUEST_UNUSED_20151022_002004	Du hast die Monsteranführerkarte beschafft. Überbringe sie der Bokor-Meisteranwärterin.
QUEST_UNUSED_20151022_002005	Die Hörner von Sparnasmann im Brakenkloster (64_2) beschaffen
QUEST_UNUSED_20151022_002006	Die Dievdirbys-Meisteranwärterin möchte, dass du ihr die Hörner von Sparnasmann besorgst. Sie benötigt sie, um etwas daraus zu schnitzen. Besiege Sparnasmann im Brakenkloster (64_2).
QUEST_UNUSED_20151022_002007	Der Dievdirbys-Meisteranwärterin Bericht erstatten
QUEST_UNUSED_20151022_002008	Du hast die Hörner von Sparnasmann beschafft. Kehre mit ihnen zur Dievdirbys-Meisteranwärterin zurück.
QUEST_UNUSED_20151022_002009	Von Sparnasmann erbeuten: %s
QUEST_UNUSED_20151022_002010	Mit dem Geist der Sadhu-Meisterin in Orsha sprechen
QUEST_UNUSED_20151022_002011	Auf dem Feretorihügel die Monster besiegen, die mit der Energie der Sadhu-Meisterin verbunden wurden
QUEST_UNUSED_20151022_002012	Du musst die von der Sadhu-Meisterin erhaltene Energie nutzen, um verschiedene Teile von Monstern auf dem Feretorihügel miteinander zu verbinden. Absorbiere dann deren Seele, indem du die soeben verbundenen Monster besiegst.
QUEST_UNUSED_20151022_002013	Du hast genug Seelen für die Sadhu-Meisterin gesammelt. Kehre zu ihrem Geist in Orsha zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_002014	Paladin-Meisteranwärterin
QUEST_UNUSED_20151022_002015	Sprich mit der Paladin-Meisteranwärterin in Orsha.
QUEST_UNUSED_20151022_002016	Monster auf dem Feretorihügel besiegen, um der Paladin-Meisteranwärterin deine Kraft zu beweisen
QUEST_UNUSED_20151022_002017	Der Paladin-Meisteranwärterin Bericht erstatten
QUEST_UNUSED_20151022_002018	Du hast genug Monster besiegt. Kehre jetzt zur Paladin-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_002019	Abgebrochene Enden von Hopliten-Speeren sammeln
QUEST_UNUSED_20151022_002020	Besiege die Monster an der Apsimesti-Kreuzung und sammle die abgebrochenen Enden der Speere anderer Hopliten ein.
QUEST_UNUSED_20151022_002021	Du hast genug Speerenden eingesammelt. Kehre jetzt zum Hopliten-Meister zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_002022	Von den Monstern an der Apsimesti-Kreuzung Folgendes besorgen: %s
QUEST_UNUSED_20151022_002023	Die Monster an der Apsimesti-Kreuzung ohne einen Schild besiegen
QUEST_UNUSED_20151022_002024	Besiege die Monster an der Apsimesti-Kreuzung, ohne einen Schild ausgerüstet zu haben.
QUEST_UNUSED_20151022_002025	Du hast dich auch ohne Schild als fähig im Kampf erwiesen. Kehre jetzt zur Rodelero-Meisterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_002026	Monster an der Apsimesti-Kreuzung besiegen, während du auf einem Begleiter reitest
QUEST_UNUSED_20151022_002027	Für einen Kataphrakt sind Begleiter ebenso wichtig wie ihre Speere. Monster an der Apsimesti-Kreuzung besiegen
QUEST_UNUSED_20151022_002028	Du hast bewiesen, dass du mit deinem Begleiter wunderbar im Einklang bist. Kehre jetzt zum Kataphrakt-Meister zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_002029	Monster an der Apsimesti-Kreuzung besiegen
QUEST_UNUSED_20151022_002030	Die Bokor-Meisteranwärterin hat dich gebeten, die Monster an der Apsimesti-Kreuzung zu besiegen, damit sie sich ein Bild von deinem Können als Bokor machen kann.
QUEST_UNUSED_20151022_002031	Offenbar hast du genug Monster besiegt. Kehre jetzt zur Bokor-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_002032	Monster an der Apsimesti-Kreuzung besiegen
QUEST_UNUSED_20151022_002033	Göttinnenstatue reparieren [Dievdirbys-Aufstieg]
QUEST_UNUSED_20151022_002034	Öl von den Ashulongs beim Aquädukt sammeln
QUEST_UNUSED_20151022_002035	Wir sollten Duftöl herstellen, um die Statuen der Göttinnen zu reparieren. Sammle Öl von den Ashulongs beim Aquädukt, um Duftöl herstellen zu können.
QUEST_UNUSED_20151022_002036	Du hast genug Öl beschafft. Kehre mit ihm zur Dievdirbys-Meisteranwärterin zurück.
QUEST_UNUSED_20151022_002037	Die Göttinnenstatuen in Fedimian und Orsha reparieren
QUEST_UNUSED_20151022_002038	Du hast genug Duftöl beschafft. Kümmere dich jetzt um die Statuen der Göttin Vakarine in Fedimian und Orsha.
QUEST_UNUSED_20151022_002039	Du hast alle Göttinnenstatuen repariert. Kehre zur Dievdirbys-Meisteranwärterin zurück.
QUEST_UNUSED_20151022_002040	Du hast alle Monster besiegt, die die Dorfbewohner bedroht haben. Kehre zum Geist der Sadhu-Meisterin in Orsha zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_002041	Rotwandelbäume bei der Apsimesti-Kreuzung besiegen
QUEST_UNUSED_20151022_002042	Die Paladin-Meisteranwärterin aufsuchen
QUEST_UNUSED_20151022_002043	Mit der Paladin-Meisteranwärterin in Orsha sprechen
QUEST_UNUSED_20151022_002044	Monster besiegen, die an der Großen Straße der Hungernden Dämonen aus einem verlassenen Altar kommen.
QUEST_UNUSED_20151022_002045	Benutze die von der Paladin-Meisteranwärterin erhaltenen Relikte beim verlassenen Altar an der Großen Straße der Hungernden Dämonen. Danach sollst du alle auftauchenden Monster besiegen.
QUEST_UNUSED_20151022_002046	Du hast alle Monster besiegt, die aufgetaucht sind. Kehre jetzt zur Paladin-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_002047	Monster in der Nähe des Altars besiegen
QUEST_UNUSED_20151022_002048	Mit der Rodelero-Meisterin in Orsha treffen
QUEST_UNUSED_20151022_002049	Mit dem Kataphrakt-Meister in Orsha treffen
QUEST_UNUSED_20151022_002050	Die Sadhu-Meisterin möchte, dass du im Garten des Grünen Colimencia besiegst, die den Menschen Leid zufügen.
QUEST_UNUSED_20151022_002051	Du hast die Bitte der Sadhu-Meisterin erfüllt. Kehre zum Geist der Sadhu-Meisterin in Orsha zurück und erstatte ihm Bericht.
QUEST_UNUSED_20151022_002052	Die Paladin-Meisteranwärterin in Orsha aufsuchen
QUEST_UNUSED_20151022_002053	Die Paladin-Meisteranwärterin möchte sehen, wie stark dein Glaube ist. Besiege Gaigalas, der häufig beim Pächterhof zu sehen ist.
QUEST_UNUSED_20151022_002054	Du hast Gaigalas besiegt. Kehre jetzt zur Paladin-Meisteranwärterin zurück und erstatte ihr Bericht.
QUEST_UNUSED_20151022_002055	Hole die Lebensmittel zurück, die die Frettchen von den Dorfbewohnern geklaut haben. Du erlangst sie zurück, indem du die Frettchen besiegst.
QUEST_UNUSED_20151022_002056	Die diebischen Frettchen besiegen
QUEST_UNUSED_20151022_002057	Als du mit vollen Taschen von den Frettchen zurückgekehrt bist, ist dir das geheimnisvolle Mädchen erneut begegnet. Das Mädchen hat die Dorfbewohner gerettet und ist plötzlich verschwunden. Triff dich mit dem Dorfältesten und überreiche ihm die zurückgewonnenen Lebensmittel.
QUEST_UNUSED_20151022_002058	Der Dorfälteste hat dich gebeten, die von Dämonen aufgestellten Totems zu zerstören, da sie der Grund für die plötzliche Wildheit der Frettchen sind.
QUEST_UNUSED_20151022_002059	Das geheimnisvolle Mädchen hat das Dorf durchquert und ist dann nach Zeraha verschwunden.
QUEST_UNUSED_20151022_002060	Die Dorfbewohner haben dich gebeten, verschmutztes rotes Wasser aus dem alten Brunnen zu holen, um die von den Frettchen gestohlenen Lebensmittel zu vergiften.
QUEST_UNUSED_20151022_002061	Du hast genug verschmutztes rotes Wasser aus dem alten Brunnen besorgt.
QUEST_UNUSED_20151022_002062	Die Frettchen haben die gestohlenen Lebensmittel zwischen den Obstkörben versteckt. Die Dorfbewohner haben dich gebeten, das von den Frettchen heiß geliebte Dörrfleisch mit rotem Wasser zu vergiften.
QUEST_UNUSED_20151022_002063	Suche in verdächtigen Körben nach Dörrfleisch und vergifte es mit rotem Wasser. Kehre zu den Dorfbewohnern zurück.
QUEST_UNUSED_20151022_002064	Dievdirbys Widas hat Forschungen betrieben und die Ergebnisse herangezogen, um eine Skulptur des Friedens herzustellen. Stelle die Skulptur des Friedens in der Nähe der Frettchen auf und beobachte ihre Reaktion.
QUEST_UNUSED_20151022_002065	Die herannahenden Frettchen besiegen
QUEST_UNUSED_20151022_002066	Druidin Leja hat dir erzählt, dass sie gesehen hat, wie die Frettchen in einer Gruppe umherziehen. Außerdem hat sie dir verraten, wo sich das Mädchen wahrscheinlich versteckt. Leja hat dich gebeten, etwas Schlafkraut zu besorgen. Sie möchte die Frettchen mit seinem Geruch benommen machen, bevor sie sich auf die Suche nach dem Mädchen begibt.
QUEST_UNUSED_20151022_002067	Du solltest das Mädchen retten, während die Frettchen aufgrund der schläfrig machenden Wirkung des Räucherwerks benommen sind. Zum Verbreiten des Dufts benötigst du jedoch ein Lagerfeuer und du musst schnell und vorsichtig sein, die Wirkung hält nicht lange an.
QUEST_UNUSED_20151022_002068	Druide Benes hat dich gebeten, das Verhalten der Frettchen auf einer leeren Schriftrolle festzuhalten, um sie besser verstehen zu können. Wenn du die leere Schriftrolle in der Nähe der Frettchen benutzt, kannst du ihr Verhalten aufzeichnen.
QUEST_UNUSED_20151022_002069	Du hast die Frettchen beobachtet und ihr Verhalten auf einer leeren Schriftrolle festgehalten. Übergib dem Druiden Benes die Schriftrolle.
QUEST_UNUSED_20151022_002070	Benes möchte Holz platzieren, dem er das Aussehen eines verwundeten Dorfbewohners verpasst hat, und er bittet dich, zu beobachten, wie die Frettchen darauf reagieren.
QUEST_UNUSED_20151022_002071	Um die Frettchen zu vertreiben, möchte Benes, dass du den schrecklichen Geruch im Bellaiwald verbreitest. Verbreite den schrecklichen Geruch mithilfe eines Lagerfeuers.
QUEST_UNUSED_20151022_002072	Wir sollten die Göttin Lada aus den Fängen des Dämonenfürsten Zaura im Seir-Regenwald befreien.
QUEST_UNUSED_20151022_002073	Frage Göttin Lada, wie du sie befreien und eine Verschwörung der Dämonen verhindern kannst.
QUEST_UNUSED_20151022_002074	Du hast das Gerät zerstört, das Lada gefangen gehalten hat. Sprich mit Lada.
QUEST_UNUSED_20151022_002075	Lada hat dir gesagt, dass du Blut von Dämonen beschaffen und das Gerät, das Lebenskraft entzieht, damit benetzen musst. Auf diese Weise kannst du es lahmlegen.
QUEST_UNUSED_20151022_002076	Du hast ausreichend Dämonenblut beschafft. Benetze das Gerät, das Lebenskraft entzieht, mit dem Blut der Dämonen.
QUEST_UNUSED_20151022_002077	Du hast das Vitalitätsabsobiergerät zerstört. Besprich mit Lada, was als Nächstes zu tun ist.
QUEST_UNUSED_20151022_002078	Göttin Lada meint, dass du die Kugel der Göttin beim Kruvina-Unterdrücker verwenden musst, damit er durch die magische Energie überladen wird und nicht mehr funktioniert.
QUEST_UNUSED_20151022_002079	Göttin Lada hat alle Geräte zerstört, die Kruvina produzieren, aber du sollst für sie auch einige unfertige Kruvinas eliminieren.
QUEST_UNUSED_20151022_002080	Göttin Lada wurde von Göttin Laima gerufen, und sie soll den Retter zu ihr führen, der sie aus dieser Misere befreit hat. Nimm die Kugel der Göttin zur Statue der Göttin Laima in Zeraha mit und sieh dich um.
QUEST_UNUSED_20151022_002081	Die verbleibenden Dämonen besiegen
QUEST_UNUSED_20151022_002082	In Fedimian um Hilfe ansuchen
QUEST_UNUSED_20151022_002083	Der Dorfpriester sucht nach einer Möglichkeit, das von der bösartigen Energie der Dämonen verseuchte Land zu läutern. Der Priester hat dich gebeten, herauszufinden, wie du das Land der Meister in Fedimian läutern kannst.
QUEST_UNUSED_20151022_002084	Du konntest die Schriftrolle der Läuterung von der Druidenmeisterin in Fedimian besorgen. Kehre zum Dorfpriester zurück.
QUEST_UNUSED_20151022_002085	Herausfinden, wie das Land in Fedimian geläutert werden kann
QUEST_UNUSED_20151022_002086	Der Priester meint, dass das dämonische Totem die Quelle der Verderbnis ist. Er hat dich gebeten, es zu zerstören und das Land mit der Schriftrolle der Läuterung zu läutern.
QUEST_UNUSED_20151022_002087	Mit dem Hohepriester des Dorfs sprechen
QUEST_UNUSED_20151022_002088	Offensichtlich hat der Hohepriester des Dorfs ein Anliegen. Sprich mit dem neuen Offizier.
QUEST_UNUSED_20151022_002089	Der Hohepriester des Dorfs hat dich gebeten, Erdblumensamen auf einem Stück Land zu pflanzen, das mit Lebenskraft erfüllt wurde. Kümmere dich um die Blumen und bringe sie dann Göttin Lada.
QUEST_UNUSED_20151022_002090	Geeignete Steine entnehmen
QUEST_UNUSED_20151022_002091	Du hast geeignete Steine für die Restaurierung gefunden!
QUEST_UNUSED_20151022_002092	Grabsteinmaterial entnehmen
QUEST_UNUSED_20151022_002093	Du hast geeignetes Grabsteinmaterial gefunden!
QUEST_UNUSED_20151102_002094	So these are the samples. Now, the conditions for the deal have been fulfilled.{nl}Okay. I will make you stronger.
QUEST_UNUSED_20151102_002095	There is a problem at 36_1 of the valley area.{nl}Just put the Namott of Purification which I gave to you on the place where demonic energy is strongest.
QUEST_UNUSED_20151102_002096	I... didn't expect to see someone here..{nl}
QUEST_UNUSED_20151102_002097	You better run away.{nl}Lots of demons are here.{nl}
QUEST_UNUSED_20151102_002098	A little while ago, a demon appeared at the place where there is the owl sculputre and controlling the monsters.
QUEST_UNUSED_20151102_002099	Why there? Are you insane?{nl}They are demons.{nl}
QUEST_UNUSED_20151102_002100	I don't know how strong you are, but...{nl}I am going to stay here. If you are gonna go, go alone.{nl}
QUEST_UNUSED_20151102_002101	I was being chased by the demons and ran upto here.{nl}I don't want to see any more troubles.
QUEST_UNUSED_20151102_002102	There were no demons and only other monsters?{nl}Oh, I'm glad...{nl}
QUEST_UNUSED_20151102_002103	Even so, you don't look like you are hurt... it seems that you are stronger than I expected.{nl}I see you differently now.
QUEST_UNUSED_20151102_002104	I've already gave up on one salvation and I couldn't do anything on Medzio Diena.{nl}However, even so, I can't give up everything.{nl}
QUEST_UNUSED_20151102_002105	I will tell you in due time so please collect some Green Infro Holder Eggs.
QUEST_UNUSED_20151102_002106	The eggs of Green Infro Holder are the key to binding the souls.{nl}Now, we need to substantiate it.
QUEST_UNUSED_20151102_002107	Don't think of it as unpleasant. {nl}This is the best I can do for now.
QUEST_UNUSED_20151102_002108	Hey!{nl}Please help me.
QUEST_UNUSED_20151102_002109	My friends are being attacked by the demons!
QUEST_UNUSED_20151102_002110	Please save my friends from the demons. I beg you.
QUEST_UNUSED_20151102_002111	If you were not there, we would have killed brutally by now.
QUEST_UNUSED_20151102_002112	At AA village.{nl}He is hiding, but the demons would find him quickly.
QUEST_UNUSED_20151102_002113	Thank you for helping us. I am Rose. We are merchants who go various places to sell the goods.
QUEST_UNUSED_20151102_002114	We've decided to sell the goods to XX village which is my hometown and visited XX village.
QUEST_UNUSED_20151102_002115	But, there were no one in the village. There were really no one to think about they've gone to pick up the brackens.{nl}Therefore, we looked around various places to look for the villagers and ran away here after being attacked by the demons.
QUEST_UNUSED_20151102_002116	While running away, we've got seperated from our colleagues. It is important to find whereabouts of the villagers, but I am more worried whether my colleagues weren't attacked by the demons.
QUEST_UNUSED_20151102_002117	Are you really helping us?{nl}I guess the goddess hasn't abandoned us yet. It's not common these days which a competent person like you help someone who needs help.
QUEST_UNUSED_20151102_002118	We better use the olfactory sense of Rash. But, while Rash was running away from the demons, it consumed lots of stamina
QUEST_UNUSED_20151102_002119	If we recover Rash's stamina, it will be easy to find our colleagues.
QUEST_UNUSED_20151102_002120	This is the potion to recover stamina.{nl}I will give it to Rash.
QUEST_UNUSED_20151102_002121	Due to the potion you gave to me, Rash recovered its stamina fast.
QUEST_UNUSED_20151102_002122	I am going to make Rash to smell the odor that is coming out from the goods of my colleagues. Rash will guide you to the place where our colleagues are.
QUEST_UNUSED_20151102_002123	If Rash starts to wander around, let it smell the odor from the good I've handed over to you.
QUEST_UNUSED_20151102_002124	I will pray so that my colleagues are safe.
QUEST_UNUSED_20151102_002125	How did you know I am here?
QUEST_UNUSED_20151102_002126	How did Rash come here..{nl}Who are you and how have you come here with Rash?
QUEST_UNUSED_20151102_002127	I was able to encounter with my colleagues because of you.{nl}Thank you so much.
QUEST_UNUSED_20151102_002128	Now, le'ts chase the whereabouts of XX villagers.
QUEST_UNUSED_20151102_002129	I was too busy running away from the demons so I could not think about my luggages well. There are many goods that can be sold at expensive prices in the luggage. If we go out of the village, the demons would definitely run at me and attack me.
QUEST_UNUSED_20151102_002130	Can you look for the luggage on behalf of me?
QUEST_UNUSED_20151102_002131	What happened to my luggage?
QUEST_UNUSED_20151102_002132	You've found my luggage.{nl}Thank you so much for finding my luggage.
QUEST_UNUSED_20151102_002133	You saved us from the demons. Even so, we can't guarantee that we are now safe from the demons.
QUEST_UNUSED_20151102_002134	There are also Beast-type monsters around AA village other than the demons so it looks more dangerous.
QUEST_UNUSED_20151102_002135	I can't stay here since it's too unstable. Can you defeat the demons and the beast monsters around AA village?
QUEST_UNUSED_20151102_002136	I guess I should think about doing other jobs.
QUEST_UNUSED_20151102_002137	The demons and the beast monsters are still wandering around, but I am relieved a bit since at least they are not close enough to come to the village.
QUEST_UNUSED_20151102_002138	I was attacked by the demons while picking up the herbs. Fortunately, I saved my life, but I got hut a lot.
QUEST_UNUSED_20151102_002139	Please pick up the herbs that can cure the wounds. I think I may be better off if I get it on.
QUEST_UNUSED_20151102_002140	I want to go pick up the herbs myself, but it hurts a lot whenever I move.
QUEST_UNUSED_20151102_002141	Have you obtained the herbs?
QUEST_UNUSED_20151102_002142	Please give to me.
QUEST_UNUSED_20151102_002143	The pain still remains even after rubbing the herb on the wound area.
QUEST_UNUSED_20151102_002144	It seems that I am addicted to the poison that is being used by the demons.
QUEST_UNUSED_20151102_002145	It hurts a lot on the wound areas and I have hard time breathing..{nl}When you tell my symptoms to
QUEST_UNUSED_20151102_002146	It is the deadly poison. We don't have enough time. I will give you the medicine so please give to the patient fast.
QUEST_UNUSED_20151102_002147	Due to the medicine, I have less pain and I can breathe well.{nl}Thank you.
QUEST_UNUSED_20151102_002148	Let's check what happened at the village to find out whereabouts of the villagers.{nl}I want you to check A, B and C districts.
QUEST_UNUSED_20151102_002149	I'll have a look in other places.
QUEST_UNUSED_20151102_002150	Have you found any clues to to find the whereabouts of the villagers?
QUEST_UNUSED_20151102_002151	I've checked the footsteps of the demons in the village. I am sure the demons have intruded into the village. There are no corpses and the house looks normal so the demons are not planning to steal.
QUEST_UNUSED_20151102_002152	Then, why and what for, demons took the villagers?
