QUEST_LV_0200_20150317_000001	Philipas' Soldier
QUEST_LV_0200_20150401_005734	The power of the demons reject the power of the goddesses.{nl}This role completely depends on Hauberk.
QUEST_LV_0200_20150401_005735	So you are the one who Vakarine mentioned.{nl}Good. The goddess will lead the everything.
QUEST_LV_0200_20150401_005736	I've locked Blut in the barrier of the prison, but he won't endure there for long time.{nl}We should attack all at once. Are you ready?
QUEST_LV_0200_20150401_005737	If we weren't able to defeat Blut here, Vakarine may have fallen down together.{nl}Hurry to the 2nd District. Medeina is waiting there.
QUEST_LV_0200_20150401_005738	Damn. The demons that lost their leader, Blut is trying to escape to the outer world.{nl}If they succeed on breaking the weak part of the barrier, a catastrophe would result.
QUEST_LV_0200_20150401_005739	The area where the influence of the goddesses could reach is getting smaller.{nl}We should somehow help out the Goddesses..
QUEST_LV_0200_20150401_005740	Well done.{nl}If the demons come out to the outer world, a catastrophe would result.
QUEST_LV_0200_20150401_005741	The human expedition team actually came here.{nl}But, unfortunately, they all died.{nl}
QUEST_LV_0200_20150401_005742	I want to calm their spirits by finding their belongings.{nl}But, it's not easy since the demons are carrying them like their booties.
QUEST_LV_0200_20150401_005743	Humans should not come here.
QUEST_LV_0200_20150401_005744	Thank you. {nl}I hope there are no more sacrifices like this...
QUEST_LV_0200_20150401_005745	Kupole Medeina
QUEST_LV_0200_20150401_005746	We are in a trouble.{nl}The barrier of the Goddess is breaking due to the mighty power of the Demon Lord, Nuaele.{nl}
QUEST_LV_0200_20150401_005747	Aldona went to face against Nuaele since he wants to resist some more.{nl}If you could reduce the mighty power of Nualele a bit... It will help Aldona a lot!
QUEST_LV_0200_20150401_005748	The barrier of the goddess is like a great wall surrounding this prison.{nl}It will block the demons coming into the prison or escaping from here.{nl}
QUEST_LV_0200_20150401_005749	The dimensional crack started was created on the barrier due to Medzio Diena.{nl}Vakarine is having hard time since she should maintain the barrier and face the demons at the same time.
QUEST_LV_0200_20150401_005750	Please hurry to the 1st District before the demons meet Nuaele. {nl}I want you to eliminate them.
QUEST_LV_0200_20150401_005751	Goddesses.{nl}Please protect Aldona..
QUEST_LV_0200_20150401_005752	Well done.{nl}Since you've defeated many demons and their power will be reduce a lot.
QUEST_LV_0200_20150401_005753	Nuaele is luring his subordinates and spreading his influence with the pieces of the seal of Hauberk.{nl}Hauberk should feel something.{nl}
QUEST_LV_0200_20150401_005754	There are more methods to increase the power of Hauberk using that.{nl}Hauberk would also want that.
QUEST_LV_0200_20150401_005755	Nuaele was in fact not that strong of a Demon Lord.{nl}But, after obtaining the seal piece of Hauberk, he spread his influence at a astonishingly fast pace.{nl}
QUEST_LV_0200_20150401_005756	After losing his master, Hauberk's subordinates started to follow him who has the piece of the seal.{nl}They are like betrayers to Hauberk.
QUEST_LV_0200_20150401_005757	Hauberk is retriving his manes that he gave to his subordinates as a symbol of their faithfulness.{nl}Now, go to the 2nd isolated area. They must be gathered there.
QUEST_LV_0200_20150401_005758	The subordinates of Hauberk are still following Nuaele as if he is Hauberk.{nl}But, if Hauberk retrieves his manes, they will know who is their true master.{nl}
QUEST_LV_0200_20150401_005759	Now, the Demon Lord, Nuaele would know it.{nl}In order to escapse from this prison, he should not only rely on his subordinates.{nl}But, its too late now.
QUEST_LV_0200_20150401_005760	By the way, Nuaele's behavior is somewhat strange.{nl}In fact, with the power that he accumulated secretly for a long time, he may just break the barrier and go out.{nl}
QUEST_LV_0200_20150401_005761	But, for us, we are waiting for someone that we don't know. {nl}I guess we should interrogate the subordinates of Nuaele.
QUEST_LV_0200_20150401_005762	I will give you the marbles that I received from the Goddess.{nl}We, Kupoles can't do it, but since Hauberk is a demon, he would be able to read our mind.
QUEST_LV_0200_20150401_005763	When the power of the goddesses get weak, the mighty power of us, Kupoles also get weak.{nl}Furthermore, trying to disturb the minds of the demons, it's impossible.
QUEST_LV_0200_20150401_005764	He was thinking about changing the prison into his demonic world from the first place.{nl}If this place falls under the hands of him, even Ausrine can't do anything.
QUEST_LV_0200_20150401_005765	Since we've found out Nuaele's intention, we should be moving fast.{nl}
QUEST_LV_0200_20150401_005766	How about we first attack * monster at the 4th isolated area?{nl}If we could defeat it, it's like we are defeating one of the strongest weapons of Nuaele.
QUEST_LV_0200_20150401_005767	Hauberk was once the strongest Demon Lord who led the largest army.{nl}After he was sealed, I thought no one as strong as him would appear again.{nl}
QUEST_LV_0200_20150401_005768	However, Nuaele is imitating Hauberk as if she is the original with the fragment of his seal.{nl}He became the strongest Demon Lord at least in this district.
QUEST_LV_0200_20150401_005769	You now see the end of someone who tried to use another's power instead of using his own.
QUEST_LV_0200_20150401_005770	He was in fact the subordinate of Hauberk. Hauberk won't need him anymore.{nl}After Hauberk was sealed, he ran to Nuaele and handed over the seal piece to him.
QUEST_LV_0200_20150401_005771	Nuaele is disappeared, but his ramnents are gathering at the 1st isolated area.{nl}They are going to continue his mission. Get rid of those demons.
QUEST_LV_0200_20150401_005772	You have to be more careful.{nl}Hauberk and Nuaele became symbolic figures to the demons.
QUEST_LV_0200_20150401_005773	Many demons came here through the dimensional crack to support the Demon Lord here.{nl}It will be the same in other places as well. Thanks to you we now have peace.
QUEST_LV_0200_20150401_005775	If it continues like this, the demons will stand up again.{nl}Help us so that the demons that are locked in the prison do not look down on us.
QUEST_LV_0200_20150401_005776	The demons look down on us.{nl}It will take a long time before the rules here get established here.
QUEST_LV_0200_20150401_005777	I will pass these necklaces to the sisters myself.{nl}May the Goddesses protect you.
QUEST_LV_0200_20150401_005778	Nuaele is having the ritual ceremony to summon the demons in his district.{nl}But, all of his arms are legs are disconnected so its going to be easy to defeat him.{nl}
QUEST_LV_0200_20150401_005779	Meet Aldona. {nl}He would take you to the area of Nuaele.
QUEST_LV_0200_20150401_005780	Without Aldona's help, you will never enter the area of where Nuaele resides.{nl}You should seek for guidance from Aldona.
QUEST_LV_0200_20150401_005781	Nuaele's behavior was something that can't be accepted.{nl}If he stayed quietly, he would have been forgiven.{nl}
QUEST_LV_0200_20150401_005782	Let's go to District 3.{nl}Vakarine is waiting for your help.
QUEST_LV_0200_20150401_005783	Hauberk and the savior.{nl}With help from you, I can now punish the Demon Lord, Baltrus.{nl}But the threat of the space of the metastasis still exists.{nl}
QUEST_LV_0200_20150401_005784	My poor Dionys..{nl}I will remove the strong power that is controlling her and close the space of the metastasis.{nl}
QUEST_LV_0200_20150401_005785	Complete the Evening Star Key by helping Zydrone.{nl}With that key, you will be able to remove the power from Dionys.
QUEST_LV_0200_20150401_005786	The strong power that we tried to protect from Baltrus is controlling the ego of Dionys.{nl}Fortunately, that power can be detached and be put in the key of the night star.{nl}
QUEST_LV_0200_20150401_005787	Plese close the space of the metastasis that are on the scar of the metastasis first.{nl}Because of the waves coming out from the space, I can't hardly focus on the ritual.
QUEST_LV_0200_20150401_005788	We don't know exactly what is the strong power that is controlling Dionys.{nl}We just know that it could close the space of the metastasis and it should not be stolen.{nl}
QUEST_LV_0200_20150401_005789	While the goddess was maintaining the barrier of the prison, she also had to fight against Baltrus at the same time.{nl}If the goddess gets defeated, that power can't be protected..{nl}
QUEST_LV_0200_20150401_005790	The Goddess had to make a hard decision.{nl}Until the prison gets stabilized, she will seal the power to Dionys who is like family to her.
QUEST_LV_0200_20150401_005791	Dionys is the guardian who Vakarine most takes care.{nl}She reluctantly sealed the strong power to Dionys and fell into the deep sadness..
QUEST_LV_0200_20150401_005792	We can start the ritual now.{nl}When the Evening Star Key is completed, we could probably retrieve his ego.
QUEST_LV_0200_20150401_005793	We could go to Orualma grand corridor to put the power of the Goddess into the key of the night star.{nl}As I am charging the key, please protect me from the demons.
QUEST_LV_0200_20150401_005794	It's all completed. Please hand over this key to Aldona.{nl}Aldona is blocking the attacks of Dionys so please hurry up.
QUEST_LV_0200_20150401_005795	Soon.. We would collapse.{nl}Dionys is too strong to face against by us, Kupoles.{nl}
QUEST_LV_0200_20150401_005796	Vakarine saved some power to prepare for the worst outcome.{nl}With the key of the night star, please unleash the seals of Rewalda, Kasa and Rada Seals.
QUEST_LV_0200_20150401_005797	The problem is the time.{nl}If you are late, Vakarine can't do anything.
QUEST_LV_0200_20150401_005798	The power of the Goddesses is accumulating at the magical suppressor.{nl}We are now all ready. And we have enough time.
QUEST_LV_0200_20150401_005799	We will now remove the power from Dionys.{nl}If we fail, Dionys may escape from here with the power.{nl}
QUEST_LV_0200_20150401_005800	It's going to bring the same result like unleashing tens of Demon Lords.{nl}You should approach it carefully. Tell me when you are ready.
QUEST_LV_0200_20150401_005801	The direction where Hauberk ran away is District 4 where Daiva is protecting.{nl}First, go back to the Goddess. I will take care of Dionys.
QUEST_LV_0200_20150401_005802	Savior. You are now ready to know the truth.{nl}The reason why I am just leaving Hauberk like that is because he too is the key to close the space of the metastasis.{nl}
QUEST_LV_0200_20150401_005803	The power that he took away from Dionys is called the chain of revivification.{nl}He was planning to close the space of the metastasis using that chain and the spirit of Hauberk.{nl}
QUEST_LV_0200_20150401_005804	But since you are here, it's not too late.{nl}The District 4, the place where he ran away to is like a maze. Daiva will be able to chase after him.
QUEST_LV_0200_20150401_005805	How come Vakarine left Hauberk to go crazy like that..{nl}I guess she must have a reason for that.
QUEST_LV_0200_20150401_005806	Even if we defeat Baltrus, that doesn't mean we have peace in this prison.{nl}The demons who lost their leader is going crazy here.{nl}
QUEST_LV_0200_20150401_005807	His subordinates are keep gathering at the grand corridor of Orualma. {nl}Please defeat them.
QUEST_LV_0200_20150401_005808	We, Kupoles are different.{nl}Even if the goddesses are not around, we don't get violent.{nl}
QUEST_LV_0200_20150401_005809	We are the symbol of the rules and the principles.
QUEST_LV_0200_20150401_005810	The Goddesses rest at the grand corridor and recover her power.{nl}That's why it has to be safe all the time from the demons. Thank you so much.
QUEST_LV_0200_20150401_005811	Dionys is weak.{nl}If you could find his toenails, he will recover his energy.{nl}
QUEST_LV_0200_20150401_005812	There are many demons who ran away after getting attacked by Dionys near Rewalda seal.{nl}You may find the toe nails of Dionys from them.
QUEST_LV_0200_20150401_005813	Dionys was originally the normal creature from the human world.{nl}Vakarine accepted him who was playing with the demons violently.{nl}
QUEST_LV_0200_20150401_005814	Now he is the most faithful guardian of Vakarine.{nl}He lost his consciousness due to that power, but he must be suffering a lot himself.
QUEST_LV_0200_20150401_005815	Vakarine will recover fast when Dionys recovers.{nl}There are many things for Dionys to do other than that.
QUEST_LV_0200_20150401_005816	Thanks. {nl}This will greatly help Dionys who is very weak at the moment.
QUEST_LV_0200_20150401_005817	When Dionys lost his ego, the Rada Seal risked breaking down.{nl}Fortunately, he regained his consciousness before that, but he could not save the Mark of Star.{nl}
QUEST_LV_0200_20150401_005818	Please collect the pieces of the symbol of the star that are scattered near Rada Seal.{nl}It will help the Goddess to recover her power.
QUEST_LV_0200_20150401_005819	Dionys' power is astonishing.{nl}Even th violent Baltrus were busy running away instead of touching him.
QUEST_LV_0200_20150401_005820	Thanks. {nl}If the Goddesses recover, Dionys would also recover.
QUEST_LV_0200_20150401_005821	Hauberk just passed here.{nl}I am sure that he is trying to break the barrier of the Goddess who hasn't been fully recovered and escape by breaking the barrier.{nl}
QUEST_LV_0200_20150401_005822	The barrier at the Nebilau Broken District is most weak so he must have went there.{nl}Hurry and follow him. I will block the route.
QUEST_LV_0200_20150401_005823	Now, Hauberk is risking everything he's got.{nl}Now is the only chance that he can restore everything about him.
QUEST_LV_0200_20150401_005824	Anything Hauberk tries won't be effective.{nl}Let's keep pressuring him, and chase him to the very end.
QUEST_LV_0200_20150401_005825	It seems that Hauberk's servants are coming again.{nl}I think he's trying to deceive us by giving the fragments of his soul to his servants, but that's also what we want.{nl}
QUEST_LV_0200_20150401_005826	Please collect the pieces of the spirit by defeating the subordinates of Hauberk at the internal isolated area.{nl}Our objective is to collect more pieces of his spirit.
QUEST_LV_0200_20150401_005827	I will chase after Hauberk while I am collecting the fragments of his soul.{nl}Let's meet in front of Idinga Solitary Confinement.
QUEST_LV_0200_20150401_005828	Even if Hauberk does something, this is inside the prison.{nl}As long as we are chasing, Hauberk could never run away.
QUEST_LV_0200_20150401_005829	Well done. {nl}They might have succeeded in slowing us down, but they did not buy themselves much time at all.
QUEST_LV_0200_20150401_005830	They are trying to escape by borrowing the bodies of his subordinates. {nl}Let's keep searching by defeating the demons that contains Hauberk. Until he gives up.
QUEST_LV_0200_20150401_005831	Please take this Night Star Spectral Orb.{nl}We can find Hauberk easily with this.
QUEST_LV_0200_20150401_005832	I will push Hauberk to the single path where he won't be able to run away.{nl}If he tries to give up and run away, I will block here.
QUEST_LV_0200_20150401_005833	Don't worry too much even if he runs away.{nl}It's going well as planned.
QUEST_LV_0200_20150401_005834	Success!{nl}No more escaping.
QUEST_LV_0200_20150401_005835	We will start the hunting from now on.{nl}There is only single path in front so Hauberk would resist hard.{nl}
QUEST_LV_0200_20150401_005836	Push Hauberk into Galutin Solitary Confinement.{nl}Don't worry since Sigita is blocking Hauberk's exit at the opposite side.
QUEST_LV_0200_20150401_005837	Hauberk is like a rat that has no where to hide.{nl}Tell me when you are ready to attack.
QUEST_LV_0200_20150401_005838	Well done. We will take the sealed Hauberk and the strong power to the Goddess.{nl}The Goddess is waiting at the District 5 in the prison. Please hurry up to her.
QUEST_LV_0200_20150401_005839	We've got Hauberk, but the problem is their subordinates.{nl}We don't know what they will do in the future.{nl}
QUEST_LV_0200_20150401_005840	Hauberk's remnant forces are gathering again at the Aklaga Isolation Area.{nl}I want you to get rid of them.
QUEST_LV_0200_20150401_005841	The dimensional crack is the problem.{nl}There weren't this many low-class demons before.
QUEST_LV_0200_20150401_005842	Thank you. {nl}I will stay here and pursue the remaining demons.
QUEST_LV_0200_20150401_005843	Some of Hauberk's servants ran away to Ishidevi Hideout. {nl}They are probably hoping for a revival, like Nuaele's. {nl}
QUEST_LV_0200_20150401_005844	We cannot let that happen again. {nl}Please defeat the demons around the Ishidevi Hideout.
QUEST_LV_0200_20150401_005845	Leaving Nuaele alone just because it was trapped was a source of trouble. {nl}We paid a big price for that lesson.
QUEST_LV_0200_20150401_005846	Good work. {nl}I will track down every last demon so that they can't resist against the goddess.
QUEST_LV_0200_20150401_005847	The Goddess may disagree but we need to show them a lesson. {nl}Can you defeat the demons in Hradeti Crossroads and get their teeth?
QUEST_LV_0200_20150401_005848	The demons need to learn their lessons. {nl}It's rather gentle compared to what they did.
QUEST_LV_0200_20150401_005849	Thank you. {nl}Please keep it a secret from the Goddess.
QUEST_LV_0200_20150401_005850	It was with your help that we made it until here. {nl}The prisons will no longer be threatened by the demons anymore. {nl}
QUEST_LV_0200_20150401_005851	We will perform the ritual for closing the gap so better be prepared.
QUEST_LV_0200_20150401_005852	The waves of the dimensional crack have become stronger than ever. {nl}We can no longer fill it with Hauberk's soul alone. {nl}
QUEST_LV_0200_20150401_005853	I feel heavy-hearted to keep burdening you. {nl}But this is something only you can help.
QUEST_LV_0200_20150401_005854	We will add the power of demons to the sealed soul of Houvberg. {nl}I will give you the Evening Star Rune but it is not in its complete state.
QUEST_LV_0200_20150401_005855	Please defeat the demons in Aushra Chapel and collect the traces of the crossover. {nl}It will be an important tool for collecting the power of demons.
QUEST_LV_0200_20150401_005856	There is something I realized after meeting you. {nl}That I should have accepted Laima's warning in the first place.
QUEST_LV_0200_20150401_005857	You've gathered enought to fill the Evening Star Rune. {nl}You can use this to draw soul of demons.
QUEST_LV_0200_20150401_005858	Here. Take the Evening Star Rune.
QUEST_LV_0200_20150401_005859	Use the Evening Star Rune on the demons in Rankine Isolation District and incapacitate them. {nl}The demons will then be pulled to me by the power in the Runes.
QUEST_LV_0200_20150401_005860	From here, I will combine those demons with the soul of Hauberk.
QUEST_LV_0200_20150401_005861	A goddess and a demon cannot easily interfere with each other's souls. {nl}Only a Revelator like you can do so.
QUEST_LV_0200_20150401_005862	Good work, Revelator. {nl}The demons you sent are being combined with soul of Hauberk.
QUEST_LV_0200_20150401_005863	We still need more of demons' souls. {nl}Please use the Evening Star Rune on the demons in Ishsula Ruins Area too.
QUEST_LV_0200_20150401_005864	Then the Kupoles will go to collect them..
QUEST_LV_0200_20150401_005865	The dimensional crack is connected with the demon's world so it can't be removed without the power of the demons. {nl}That is why your role, not the goddess' nor the demons', is important.
QUEST_LV_0200_20150401_005866	Now it's almost full. {nl}But I can't feel any more demons to gather.
QUEST_LV_0200_20150401_005867	We have no choice but to resort to the last measure. {nl}Retrieve the Mark of Seal that was fastened on the powerful demons. {nl}
QUEST_LV_0200_20150401_005868	The Mark of Seal absorbs the power of its host. {nl}You can get it by using the Evening Star Rune on the demons in Etmesta Isolation District.
QUEST_LV_0200_20150401_005869	We couldn't watch every demon by its side. {nl}So we used the Mark of Seal to prevent their powers to manifest.
QUEST_LV_0200_20150401_005870	Good work. {nl}These Marks can strengthen the soul of Hauberk.
QUEST_LV_0200_20150401_005871	We have gathered enough power to close the gap. {nl}Please look out while me and the Kupoles close the gap.
QUEST_LV_0200_20150401_005872	The disaster that took its root in the prison is now gone. {nl}All credits belong to you, Revelator. {nl}
QUEST_LV_0200_20150401_005873	I plan to stay here for some time. {nl}If you need the power of a goddess, you may come anytime for help.
QUEST_LV_0200_20150401_005874	With the gap closed, the demons that lost its way are forming groups of their own. {nl}But I no longer have the strength to move for the time being. {nl}
QUEST_LV_0200_20150401_005875	The demons should never stay in groups, not for the future. {nl}Please break the power of demons that are gathered in Vanaga Surveillance Area.
QUEST_LV_0200_20150401_005876	The demons are using the aura of disaster to strengthen its powers. {nl}We may have blocked immediate disaster but peace still seems to be far away.
QUEST_LV_0200_20150401_005877	If I don't pay attention just for a while, the gap will open again. {nl}I hope you find Laima as soon as you can.
QUEST_LV_0200_20150401_005878	We were able to find Dionys with your help but he's slow recovery is causing him too much pain. {nl}Can you get the empty souls from the demons in Pasaga Isolation Area?
QUEST_LV_0200_20150401_005879	If Dionys recovers, the prison can be stabilized even if I'm not here.
QUEST_LV_0200_20150401_005880	Thank you. {nl}If Dionys recovers, it will all be thanks to you. {nl}{nl}
QUEST_LV_0200_20150401_005881	Small gaps are forming in places where my power is not reached. {nl}Even the Kupoles are focused in stabilizing process so there is no one to close the gap in Gavara Isolation Area. {nl}
QUEST_LV_0200_20150401_005882	Can you take the role for us?
QUEST_LV_0200_20150401_005883	I bear debt to Zydrone and Aldona, and even you.
QUEST_LV_0200_20150401_005884	Thank you, Revelator. {nl}If all powers are restored, I will take all measures possible to block the gaps from forming.
QUEST_LV_0200_20150401_005885	It's done. {nl}I hope it works.. Can you give this meat to the pilgrim down below? {nl}{nl}You must feed him until he's satisfied. {nl}It's all the meat that you got. 15 pieces, right?
QUEST_LV_0200_20150401_005886	Do I still look like a stone in your pouch.. {nl}You think this Hauberk will fall just like that!
QUEST_LV_0200_20150401_005887	You were all in this together from the start.. {nl}I was foolish.{nl}But do you think you can take on my powers now!
QUEST_LV_0200_20150401_005888	Darüber, warum die Offenbarer gut behandelt werden
QUEST_LV_0200_20150401_005889	Das kann ich tun.
QUEST_LV_0200_20150401_005890	Macht eure Drecksarbeit alleine.
QUEST_LV_0200_20150401_005891	Über die mangelnden Arbeitskräfte
QUEST_LV_0200_20150401_005892	Ich werde mich darum kümmern.
QUEST_LV_0200_20150401_005893	Ich verschwinde lieber von hier, mir ist das zu gefährlich.
QUEST_LV_0200_20150401_005894	Darüber, warum er im Sack steckte
QUEST_LV_0200_20150401_005895	Ich habe noch ein paar Fragen.
QUEST_LV_0200_20150401_005896	Über die Beziehung von Wachen und Bauern
QUEST_LV_0200_20150401_005897	Aufwachen/KICKBOX/0.5/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005898	Das kann ich gerne erledigen.
QUEST_LV_0200_20150401_005899	Ich bin beschäftigt und kann nicht helfen.
QUEST_LV_0200_20150401_005900	Den magischen Kreis überprüfen/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005901	Notice/!/Das Juwel zerstören, um den magischen Kreis zu stärken #10
QUEST_LV_0200_20150401_005902	Notice/!/Sammle die böse Macht der Monster in der leeren Flasche, die Rimas dir gegeben hat, und begrabe sie dann neben dem magischen Kreis! #5
QUEST_LV_0200_20150401_005903	Über das Zauberenergiegerät und die Feldfrüchte
QUEST_LV_0200_20150401_005904	Das Lager überprüfen/LOOK/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005905	Den magischen Kreis überprüfen/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005906	Gift sprühen/STANDSPINKLE/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005907	Den magischen Kreis überprüfen/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005908	Notice/!/Locke die Monster in die Nähe des magischen Kreises und besiege sie. #5
QUEST_LV_0200_20150401_005909	Notice/!/Besiege die Monster und zerstöre die Kiste! #5
QUEST_LV_0200_20150401_005910	Notice/!/Stelle einen Holzhammer her, um das Spirituosenfass zu öffnen! #5
QUEST_LV_0200_20150401_005911	Gibt es etwas, bei dem ich dir helfen kann?
QUEST_LV_0200_20150401_005912	Ich habe einen langen Weg vor mir, also werde ich jetzt gehen.
QUEST_LV_0200_20150401_005913	Über das, was du hier tust
QUEST_LV_0200_20150401_005914	Über die Dinge, auf die du dich vorbereitest
QUEST_LV_0200_20150401_005915	Feuer entfachen/FIRE/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005916	Positive Beweise (3)
QUEST_LV_0200_20150401_005917	Göttinnenstatue in dem magischen Kreis platzieren/SITGROPE_LOOP/2/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005918	Notice/Geh auf das Feld und überprüfe die Feldfrüchte! #5
QUEST_LV_0200_20150401_005919	Über die Rolle des Anführers
QUEST_LV_0200_20150401_005920	Ich werde das Leder besorgen.
QUEST_LV_0200_20150401_005921	Ich werde die Mitarbeit der Pächter erwirken.
QUEST_LV_0200_20150401_005922	Ich werde jetzt gehen.
QUEST_LV_0200_20150401_005923	Gibt es viele solcher Fälle?
QUEST_LV_0200_20150401_005924	Ich werde dafür sorgen.
QUEST_LV_0200_20150401_005925	Ich habe Angst. Das will ich nicht.
QUEST_LV_0200_20150401_005926	Den Zaun treten/KICKBOX/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005927	Abgeschlossene Vorbereitungen
QUEST_LV_0200_20150401_005928	Der Geschichte zuhören
QUEST_LV_0200_20150401_005929	Genug getan
QUEST_LV_0200_20150401_005930	Ich werde mich nicht um die Dämonen kümmern.
QUEST_LV_0200_20150401_005931	Das werde ich tun.
QUEST_LV_0200_20150401_005932	Über das Dämonengefängnis
QUEST_LV_0200_20150401_005933	Über Dämonenfürst Blut
QUEST_LV_0200_20150401_005934	Über die Kupolen
QUEST_LV_0200_20150401_005935	Alles vorbereitet
QUEST_LV_0200_20150401_005936	Notice/Begib dich in den 2. Bereich des Dämonengefängnisses und triff dich mit Kupole Medeina.
QUEST_LV_0200_20150401_005937	Sag mir, wie ich helfen kann.
QUEST_LV_0200_20150401_005938	Über die Barriere der Göttin
QUEST_LV_0200_20150401_005939	Das klingt gefährlich.
QUEST_LV_0200_20150401_005940	Über Dämonenfürstin Nuaele
QUEST_LV_0200_20150401_005941	Ich werde beim Verhör helfen.
QUEST_LV_0200_20150401_005942	Alles wird gut
QUEST_LV_0200_20150401_005943	Über Hauberk und Nuaeles Beziehung
QUEST_LV_0200_20150401_005944	Ich werde die kleinen Risse schließen.
QUEST_LV_0200_20150401_005945	Über die starke Macht
QUEST_LV_0200_20150401_005946	Ich werde dafür sorgen.
QUEST_LV_0200_20150401_005947	Ich glaube nicht, dass ich das kann.
QUEST_LV_0200_20150401_005948	Das klingt nach keiner guten Idee.
QUEST_LV_0200_20150401_005949	Ich bin mir nicht sicher, ob ich all diese Dämonen vernichten kann.
QUEST_LV_0200_20150401_005950	Beginnen wir mit dem Ritual.
QUEST_LV_0200_20150401_005951	Ich werde die Spuren der Transferenz sammeln.
QUEST_LV_0200_20150401_005952	Ich werde die Zeichen des Siegels sammeln.
QUEST_LV_0200_20150401_005953	Ich werde diese Dämonen besiegen.
QUEST_LV_0200_20150401_005954	Ich werde nach Andenken suchen.
QUEST_LV_0200_20150401_005955	Ich werde das Halsband zurückholen.
QUEST_LV_0200_20150401_005956	Ich werde die frei herumlaufenden Dämonen besiegen.
QUEST_LV_0200_20150401_005957	Ich werde die Klauen zurückholen.
QUEST_LV_0200_20150401_005958	Über Dionys
QUEST_LV_0200_20150401_005959	Ich werde die Zeichen des Sterns sammeln.
QUEST_LV_0200_20150401_005960	Ich habe dafür keine Zeit.
QUEST_LV_0200_20150401_005961	Die Göttin könnte es mir übel nehmen.
QUEST_LV_0200_20150401_005962	Alles wird gut.
QUEST_LV_0200_20150401_005963	Er wird bald geheilt sein.
QUEST_LV_0200_20150401_005964	Ich brauche etwas mehr Zeit.
QUEST_LV_0200_20150401_005965	Zu Sergeant Tadas gehen
QUEST_LV_0200_20150401_005966	Sergeant Tadas meint, dass nicht genug Seil vorhanden sei, um die Getreidesäcke zuzubinden.{nl}Jage die Monster und sammle starkes Seil.
QUEST_LV_0200_20150401_005967	Sergeant Tadas das Seil geben
QUEST_LV_0200_20150401_005968	Du hast genug Seil gesammelt. Gib es Sergeant Tadas.
QUEST_LV_0200_20150401_005969	%s von Monstern in der Nähe sammeln
QUEST_LV_0200_20150401_005970	Mit Sergeant Tadas sprechen
QUEST_LV_0200_20150401_005971	Sergeant Tadas möcht dich um noch ein paar Gefallen bitten. Sprich erneut mit ihm.
QUEST_LV_0200_20150401_005972	Die Müllsäcke an der Tvora-Straße wegräumen
QUEST_LV_0200_20150401_005973	Sergeant Tadas sagt, dass es einen Ort gibt, an dem Müllsäcke gesammelt werden, und hat dich gebeten, dich darum zu kümmern. Geh dort hin und schieb den Müll die Klippe hinunter.
QUEST_LV_0200_20150401_005974	Den verdächtigen Sack überprüfen
QUEST_LV_0200_20150401_005975	Mit dem Mann im Sack sprechen
QUEST_LV_0200_20150401_005976	Aus dem Sack kroch ein Mann hervor! Sprich mit ihm, um herausfinden, was passiert ist.
QUEST_LV_0200_20150401_005977	Das Grasland untersuchen
QUEST_LV_0200_20150401_005978	Zu Sergeant Tadas zurückkehren
QUEST_LV_0200_20150401_005979	Mit Soldat Stepas sprechen
QUEST_LV_0200_20150401_005980	Scorpio-Gift vom ackerbaufähigen Erdboden besorgen
QUEST_LV_0200_20150401_005981	Du musst Gift extrahieren, um ein nahrhaftes Tonikum zu erhalten. Besiege den schlafenden Scorpio und entziehe ihm sein Gift.
QUEST_LV_0200_20150401_005982	Soldat Stepas das Gift überreichen
QUEST_LV_0200_20150401_005983	Du hast genug Scorpio-Gift gesammelt. Gib das Gift dem Soldaten Stepas.
QUEST_LV_0200_20150401_005984	Süßkraut sammeln
QUEST_LV_0200_20150401_005985	Soldat Stepas bat dich, Süßkraut zu holen, damit Darius das nahrhafte Tonikum leichter trinken kann.
QUEST_LV_0200_20150401_005986	Darius am Schlake-Pfad das Tonikum überbringen
QUEST_LV_0200_20150401_005987	Darius das Tonikum überreichen
QUEST_LV_0200_20150401_005988	Soldat Stepas hat dich gebeten, Süßkraut in das Tonikum zu mischen und dieses dann Darius zu überbringen.
QUEST_LV_0200_20150401_005989	Darius verhält sich seltsam, nachdem er das nahrhafte Tonikum getrunken hat. Du solltest lieber Soldat Stepas davon berichten.
QUEST_LV_0200_20150401_005990	Darius nicht verschimmeltes Brot überbringen
QUEST_LV_0200_20150401_005991	Marius bat dich, das Brot seinem Bruder Darius zu bringen. Falls das Brot unterwegs verschimmelt, wirf es weg und hol dir von Marius ein Neues.
QUEST_LV_0200_20150401_005992	Darius das Brot bringen
QUEST_LV_0200_20150401_005993	Du bist bei Darius angekommen und das Brot ist noch gut. Gib Darius das Brot.
QUEST_LV_0200_20150401_005994	Du hast das Brot abgeliefert. Sprich erneut mit Darius.
